"Line","Qty","References","Category","Value / Function","Manufacturer","Manufacturer Part Number","Package / Source Footprint","Electrical Rating","Tolerance","Source Supplier","Populate","Production Status / Gate","Approved Compatible Alternate Policy","Source File","Mating / Accessory Notes","Datasheet / Source"
"BOM-001","1","C1","Capacitor; input bulk","47 uF","Panasonic Industry","EEE-FK1V470P","kicad:Capacitor_SMD/CP_Elec_6.3x5.8","35 V; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify polarity, land pattern, ESR, ripple-current capability, life and temperature derating for the protected 12 V input.","None approved; alternate requires the same land pattern/polarity and equal-or-better capacitance, voltage, ESR, ripple, life and temperature ratings.","src/power.tsx","","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1215.pdf"
"BOM-002","1","C2","Capacitor; eFuse slew timing","3.3 nF","Murata Manufacturing","GRM1885C1H332JA01D","0603","50 V; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify the TPS259470 dV/dt timing across capacitor and IC tolerances before release.","None approved; alternate requires the same 0603 package, capacitance, voltage, tolerance, dielectric and temperature behavior plus a repeated timing analysis.","src/power.tsx","","https://www.murata.com/en-us/products/productdetail?partno=GRM1885C1H332JA01%23"
"BOM-003","1","C3","Capacitor; eFuse timer","10 nF","TBD — production gate","TBD — production gate","0603","16 V minimum","TBD","","FIT","G-PASSIVE: exact MPN, dielectric, tolerance and temperature coefficient unresolved; timing function requires review.","Second source only after spec freeze; same package/value/rating/tolerance/dielectric/tempco.","src/power.tsx","",""
"BOM-004","1","C4","Capacitor; buck input","4.7 uF","Murata Manufacturing","GRM21BR71H475KA73L","0805","50 V; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify effective capacitance at maximum VIN bias, ripple current and LMR51430 stability/thermal requirements.","None approved; alternate requires the same 0805 land pattern and equal-or-better capacitance under bias, voltage, tolerance, dielectric, ESR and temperature ratings.","src/power.tsx","",""
"BOM-005","9","C5 C103 C502 C503 C504 C505 C601 C606 C607","Capacitor; bypass/filter","100 nF","TBD — production gate","TBD — production gate","0603","16 V minimum","TBD","","FIT","G-PASSIVE: exact MPN, dielectric, tolerance and temperature range unresolved.","Second source only after spec freeze; same 0603 package, 100 nF, at least 16 V, frozen tolerance/dielectric/temp.","src/power.tsx; src/processor.tsx; src/safety.tsx; src/expansion.tsx","",""
"BOM-006","3","C6 C7 C9","Capacitor; rail bulk","22 uF","Murata Manufacturing","GRM21BR61A226ME44L","0805","10 V; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify effective capacitance under 5 V bias, ripple current, ESR and regulator stability across temperature and tolerance.","None approved; alternate requires the same 0805 land pattern and equal-or-better effective capacitance, voltage, ESR, ripple and temperature ratings.","src/power.tsx","",""
"BOM-007","2","C102 C603","Capacitor; rail bulk","10 uF","TBD — production gate","TBD — production gate","0805","10 V minimum","TBD","","FIT","G-PASSIVE: exact MPN and effective capacitance under DC bias unresolved.","Second source only after spec freeze; same package/value/rating/tolerance/dielectric/temp, ESR and DC-bias performance.","src/processor.tsx; src/expansion.tsx","",""
"BOM-008","10","C101 C301 C303 C304 C305 C401 C402 C406 C408 C602","Capacitor; bypass/rail","1 uF","TBD — production gate","TBD — production gate","0603","10 V minimum","TBD","","FIT","G-PASSIVE: exact MPN, dielectric, tolerance, ESR and effective capacitance under DC bias unresolved.","Second source only after spec freeze; same package/value/rating/tolerance/dielectric/temp and DC-bias performance.","src/processor.tsx; src/mode-service.tsx; src/target-service.tsx; src/expansion.tsx","",""
"BOM-009","1","C201","Capacitor; USB VBUS sense filter","1 nF","TBD — production gate","TBD — production gate","0603","16 V minimum","TBD","","FIT","G-PASSIVE: exact MPN, dielectric, tolerance and leakage unresolved; verify USB disconnect timing.","Second source only after spec freeze; same package/value/rating/tolerance/dielectric/leakage.","src/usb.tsx","",""
"BOM-010","16","C302 C306 C308 C309 C310 C311 C312 C403 C404 C405 C407 C409 C604 C608 C609 C610","Capacitor; bypass","100 nF","TBD — production gate","TBD — production gate","0603","10 V minimum","TBD","","FIT","G-PASSIVE: exact MPN, dielectric, tolerance and temperature range unresolved.","Second source only after spec freeze; same 0603 package, 100 nF, at least 10 V, frozen tolerance/dielectric/temp.","src/mode-service.tsx; src/target-service.tsx; src/expansion.tsx","",""
