version,table,index,symbol,section_offset,type,label,units_or_description,value_or_default,unit,address,address_hex,maximum,minimum,length_or_mask,display_mode
5.0.21,utility,0,Bixby110UtilityWindowData,0x4220,1,Flue Monitor,,0,,0,0x00,0,0,1,2
5.0.21,utility,1,Bixby110UtilityWindowData,0x4278,1,Fuel A Data,,0,,0,0x00,0,0,1,2
5.0.21,utility,2,Bixby110UtilityWindowData,0x42D0,1,Fuel B Data,,0,,0,0x00,0,0,1,2
5.0.21,utility,3,Bixby110UtilityWindowData,0x4328,1,Telemetry,,0,,0,0x00,0,0,1,2
5.0.21,remote_buttons,0,Bixby110RCButtonData,0x4380,1,Off,,17,,0,0x00,0,0,1,2
5.0.21,remote_buttons,1,Bixby110RCButtonData,0x43D8,1,On,,18,,0,0x00,0,0,1,2
5.0.21,remote_buttons,2,Bixby110RCButtonData,0x4430,1,Up,,20,,0,0x00,0,0,1,2
5.0.21,remote_buttons,3,Bixby110RCButtonData,0x4488,1,Down,,24,,0,0x00,0,0,1,2
5.0.21,feedwheel_settings,0,Bixby110FeedwheelSettingData,0x44E0,1,Regular wheel; 4.0 ci,,0,,0,0x00,0,0,1,4
5.0.21,feedwheel_settings,1,Bixby110FeedwheelSettingData,0x4538,1,Beveled wheel; 5.3 ci,,0,,0,0x00,0,0,1,4
5.0.21,fan_curve_settings,0,Bixby110FancurveSettingData,0x45A0,1,High output fan,,0,,0,0x00,0,0,1,4
5.0.21,fan_curve_settings,1,Bixby110FancurveSettingData,0x45F8,1,Regular fan,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,0,Bixby110FueltypeSettingData,0x4660,1,Corn,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,1,Bixby110FueltypeSettingData,0x46B8,1,5% ash Biomass,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,2,Bixby110FueltypeSettingData,0x4710,1,2% ash Biomass,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,3,Bixby110FueltypeSettingData,0x4768,1,Wood - Lean,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,4,Bixby110FueltypeSettingData,0x47C0,1,Wood - Rich,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,5,Bixby110FueltypeSettingData,0x4818,1,Corn,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,6,Bixby110FueltypeSettingData,0x4870,1,5% ash Biomass,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,7,Bixby110FueltypeSettingData,0x48C8,1,2% ash Biomass,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,8,Bixby110FueltypeSettingData,0x4920,1,Wood - Lean,,0,,0,0x00,0,0,1,4
5.0.21,fuel_settings,9,Bixby110FueltypeSettingData,0x4978,1,Wood - Rich,,0,,0,0x00,0,0,1,4
5.0.21,altitude_settings,0,Bixby110AltitudeSettingData,0x49E0,1,Low altitude,,0,,0,0x00,0,0,1,4
5.0.21,altitude_settings,1,Bixby110AltitudeSettingData,0x4A38,1,Medium altitude,,0,,0,0x00,0,0,1,4
5.0.21,altitude_settings,2,Bixby110AltitudeSettingData,0x4A90,1,High altitude,,0,,0,0x00,0,0,1,4
5.0.21,model_settings,0,Bixby110ModelSettingData,0x4B00,1,Bixby Model 115,,0,,0,0x00,0,0,1,4
5.0.21,model_settings,1,Bixby110ModelSettingData,0x4B58,1,Bixby Model 110,,0,,0,0x00,0,0,1,4
5.0.21,test_settings,0,Bixby110TestData,0x4BC0,1,Data Out,,0,,0,0x00,0,0,1,3
5.0.21,test_settings,1,Bixby110TestData,0x4C18,1,Data In,,0,,0,0x00,0,0,1,3
5.0.21,test_settings,2,Bixby110TestData,0x4C70,1,Status,,0,,0,0x00,0,0,1,3
5.0.21,individualization,0,Bixby110IndividualizationData,0x6560,6,Software version,,0,C,11,0x0B,0,0,2,1
5.0.21,individualization,1,Bixby110IndividualizationData,0x65B8,3,Internal checksum,,0,A,0,0x00,0,0,2,3
5.0.21,individualization,2,Bixby110IndividualizationData,0x6610,3,Calculated checksum,,0,,0,0x00,0,0,2,3
5.0.21,individualization,3,Bixby110IndividualizationData,0x6668,1,Internal data format,,0,C,8,0x08,0,0,1,1
5.0.21,individualization,4,Bixby110IndividualizationData,0x66C0,1,Calculated data format,,0,A,2,0x02,0,0,1,1
5.0.21,individualization,5,Bixby110IndividualizationData,0x6718,7,Serial number,,0,A,3,0x03,0,0,8,2
5.0.21,individualization,6,Bixby110IndividualizationData,0x6770,7,Production date,,0,A,11,0x0B,0,0,8,2
5.0.21,individualization,7,Bixby110IndividualizationData,0x67C8,7,Model name,,0,A,19,0x13,0,0,16,2
5.0.21,individualization,8,Bixby110IndividualizationData,0x6820,1,Spare,,0,A,35,0x23,0,0,13,1
5.0.21,adjustment_descriptions,0,Bixby110AdjustmentDescriptions,0x6880,1,Fan,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,1,Bixby110AdjustmentDescriptions,0x68D8,1,Fuel A,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,2,Bixby110AdjustmentDescriptions,0x6930,1,Fuel B,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,3,Bixby110AdjustmentDescriptions,0x6988,1,Feed,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,4,Bixby110AdjustmentDescriptions,0x69E0,1,Fuel A,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,5,Bixby110AdjustmentDescriptions,0x6A38,1,Fuel B,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,6,Bixby110AdjustmentDescriptions,0x6A90,1,Ash,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,7,Bixby110AdjustmentDescriptions,0x6AE8,1,Fuel A,,0,X,0,0x00,0,0,1,1
5.0.21,adjustment_descriptions,8,Bixby110AdjustmentDescriptions,0x6B40,1,Fuel B,,0,X,0,0x00,0,0,1,1
5.0.21,adjustments,0,Bixby110AdjustmentData,0x4CE0,1,L1,,0,A,64,0x40,0,0,1,2
5.0.21,adjustments,1,Bixby110AdjustmentData,0x4D38,1,L2,,0,A,65,0x41,0,0,1,2
5.0.21,adjustments,2,Bixby110AdjustmentData,0x4D90,1,L3,,0,A,66,0x42,0,0,1,2
5.0.21,adjustments,3,Bixby110AdjustmentData,0x4DE8,1,L4,,0,A,67,0x43,0,0,1,2
5.0.21,adjustments,4,Bixby110AdjustmentData,0x4E40,1,L5,,0,A,68,0x44,0,0,1,2
5.0.21,adjustments,5,Bixby110AdjustmentData,0x4E98,1,L6,,0,A,69,0x45,0,0,1,2
5.0.21,adjustments,6,Bixby110AdjustmentData,0x4EF0,1,L7,,0,A,70,0x46,0,0,1,2
5.0.21,adjustments,7,Bixby110AdjustmentData,0x4F48,1,L8,,0,A,71,0x47,0,0,1,2
5.0.21,adjustments,8,Bixby110AdjustmentData,0x4FA0,1,L1,,0,A,72,0x48,0,0,1,2
5.0.21,adjustments,9,Bixby110AdjustmentData,0x4FF8,1,L2,,0,A,73,0x49,0,0,1,2
5.0.21,adjustments,10,Bixby110AdjustmentData,0x5050,1,L3,,0,A,74,0x4A,0,0,1,2
5.0.21,adjustments,11,Bixby110AdjustmentData,0x50A8,1,L4,,0,A,75,0x4B,0,0,1,2
5.0.21,adjustments,12,Bixby110AdjustmentData,0x5100,1,L5,,0,A,76,0x4C,0,0,1,2
5.0.21,adjustments,13,Bixby110AdjustmentData,0x5158,1,L6,,0,A,77,0x4D,0,0,1,2
5.0.21,adjustments,14,Bixby110AdjustmentData,0x51B0,1,L7,,0,A,78,0x4E,0,0,1,2
5.0.21,adjustments,15,Bixby110AdjustmentData,0x5208,1,L8,,0,A,79,0x4F,0,0,1,2
5.0.21,adjustments,16,Bixby110AdjustmentData,0x5260,1,L1,,0,A,80,0x50,0,0,1,2
5.0.21,adjustments,17,Bixby110AdjustmentData,0x52B8,1,L2,,0,A,81,0x51,0,0,1,2
5.0.21,adjustments,18,Bixby110AdjustmentData,0x5310,1,L3,,0,A,82,0x52,0,0,1,2
5.0.21,adjustments,19,Bixby110AdjustmentData,0x5368,1,L4,,0,A,83,0x53,0,0,1,2
5.0.21,adjustments,20,Bixby110AdjustmentData,0x53C0,1,L5,,0,A,84,0x54,0,0,1,2
5.0.21,adjustments,21,Bixby110AdjustmentData,0x5418,1,L6,,0,A,85,0x55,0,0,1,2
5.0.21,adjustments,22,Bixby110AdjustmentData,0x5470,1,L7,,0,A,86,0x56,0,0,1,2
5.0.21,adjustments,23,Bixby110AdjustmentData,0x54C8,1,L8,,0,A,87,0x57,0,0,1,2
5.0.21,adjustments,24,Bixby110AdjustmentData,0x5520,1,Startup fan,,0,A,88,0x58,0,0,1,2
5.0.21,adjustments,25,Bixby110AdjustmentData,0x5578,1,Startup feed,,0,A,89,0x59,0,0,1,2
5.0.21,adjustments,26,Bixby110AdjustmentData,0x55D0,1,Startup time %,,0,A,90,0x5A,0,0,1,2
5.0.21,adjustments,27,Bixby110AdjustmentData,0x5628,1,Igniter time %,,0,A,91,0x5B,0,0,1,2
5.0.21,adjustments,28,Bixby110AdjustmentData,0x5680,1,Ash dump fan,,0,A,96,0x60,0,0,1,2
5.0.21,adjustments,29,Bixby110AdjustmentData,0x56D8,1,Ash dump feed,,0,A,97,0x61,0,0,1,2
5.0.21,adjustments,30,Bixby110AdjustmentData,0x5730,1,Ash dump time %,,0,A,98,0x62,0,0,1,2
5.0.21,adjustments,31,Bixby110AdjustmentData,0x5788,1,Ash dump heat level,,0,A,99,0x63,0,0,1,2
5.0.21,adjustments,32,Bixby110AdjustmentData,0x57E0,1,Ash dump target %,,0,A,100,0x64,0,0,1,2
5.0.21,adjustments,33,Bixby110AdjustmentData,0x5838,1,TC for 25% fan,,0,A,104,0x68,0,0,1,2
5.0.21,adjustments,34,Bixby110AdjustmentData,0x5890,1,TC for 100% fan,,0,A,105,0x69,0,0,1,2
5.0.21,adjustments,35,Bixby110AdjustmentData,0x58E8,1,L1,,0,A,112,0x70,0,0,1,2
5.0.21,adjustments,36,Bixby110AdjustmentData,0x5940,1,L2,,0,A,113,0x71,0,0,1,2
