version,source,name,occurrence,section,section_offset,rva,va,size,instruction_count,raw_sha256,normalized_sha256
5.5.00,crt1.c,_gnu_exception_handler@4,0,1,0x00000000,0x00001000,0x00401000,336,92,6f92afd2cc0f2b41232d7d0479a23c6c3ab89d1c53850fa8b33e4b50455ed4aa,ef3934e7fb8c841fe579b29fcca73afa5f9368e0b39697ab02bf707c57a17520
5.5.00,crt1.c,__mingw_CRTStartup,0,1,0x00000150,0x00001150,0x00401150,288,69,f515698ae3352868eb70669555f5eefc52b939dda8ea4ad074fd6e44e366fad6,40db609dfb6ac73c5190e11792bf77b1f647c7dd0b74613bae4a8168f301ebd4
5.5.00,crt1.c,mainCRTStartup,0,1,0x00000270,0x00001270,0x00401270,32,8,2cb94b2d9a779fa654e5cdf5975e474fbe678357db46597b5da9a70561d4b61d,eb6a1ccfd9d2322b784fb1f68e0a291068504e79e45bec421e814643901bba9b
5.5.00,crt1.c,WinMainCRTStartup,0,1,0x00000290,0x00001290,0x00401290,32,8,e29c99526a80cc32b733dfd01824a2acd37a10bcb3050c69b15885c2ab19dc17,b4f4551845c10fd1383485881daaa97e6eb23de0c98b6774b9e93b66c7d3735f
5.5.00,crt1.c,atexit,0,1,0x000002B0,0x000012B0,0x004012B0,16,6,612e7d3add4c870e83ba5db75be2e1f140c4fb66ef1ce13395b6816567594e46,2ee47750e2d1b312b324a603442bff10cf13e5bdf0cc491a22bbba93ad55d89c
5.5.00,crt1.c,_onexit,0,1,0x000002C0,0x000012C0,0x004012C0,16,9,e33a38fa642479422497634877d06ff6b563a7fda6f2f494a91ca25ba096b91e,2a2fc2d9502d2f434002421a225939e878ebf1e2317d3064fec0f3c3af5d4444
5.5.00,crtstuff.c,__do_sjlj_init,0,1,0x000002D0,0x000012D0,0x004012D0,16,11,1f45700c8b426f04f4a543dd0afd91a5de415396c9c092acc79f3f2bf2572cd3,76d726ed3c25d66696d71609ec733fc3dfe73bc7a6f768a36b5619eebd5dcd68
5.5.00,async.cpp,async::set_timeout(long),0,1,0x000002E0,0x000012E0,0x004012E0,80,23,288fa6bd09c89b0e3f4dd44b26181a39d26bd3d4252b902c8c72b4e59201f562,6bf3f5e535c98f072530faf01588becf48c852f9a9305c119809d586586f5b10
5.5.00,async.cpp,"async::async(int, long, long, int, int)",0,1,0x00000330,0x00001330,0x00401330,496,146,b7cfb6942a44e10a42da7456758dfc9f807a9c627b52426a4865c687c75cec19,a9f5b7386459727f37f3b1020ae2218441baa6c289ad317cd221a858aa8faf98
5.5.00,async.cpp,"async::async(int, long, long, int, int)",1,1,0x00000520,0x00001520,0x00401520,496,146,fb6e1d0299d0acf1831aaf13353f2fb0d87e07b49b14c2d6a26ccc025902e6d0,a9f5b7386459727f37f3b1020ae2218441baa6c289ad317cd221a858aa8faf98
5.5.00,async.cpp,async::~async(),0,1,0x00000710,0x00001710,0x00401710,64,26,c28eb8ffbc62b32d2add99df503ad0e2a242a205eeaf1de725e8440679cb5897,d1f3615b1ac1b8698b60280e314b60811c053a1c69ffeac4e4d4a8be77ac1be7
5.5.00,async.cpp,async::~async(),1,1,0x00000750,0x00001750,0x00401750,64,26,e79bf65891d794eb704edd5d79b0a93e71e5a7eb782996d02820cbdaa607f99e,d1f3615b1ac1b8698b60280e314b60811c053a1c69ffeac4e4d4a8be77ac1be7
5.5.00,async.cpp,async::close(),0,1,0x00000790,0x00001790,0x00401790,48,17,e788f1fbf41870463ada503b2a4b2970bce218363723eed14bf61115bbd57f84,71fe8d1732a08d5a649749868bc8ef5f61c6c46b11776b2118972de03da8c97d
5.5.00,async.cpp,async::flush_buffer(),0,1,0x000007C0,0x000017C0,0x004017C0,48,16,2827123e1b43ce0c8326301e22792908bbdece957f4ca7a8cd4a2a3ca77f75ce,9d61d2942724d27f6f2054ab69322b24a090b7b81428cd514b59145481011b38
5.5.00,async.cpp,"async::write(char*, int)",0,1,0x000007F0,0x000017F0,0x004017F0,112,38,3bca44d62c5b99d0f330a167844120ef4a24bc8c638257e497824200e3423844,5a85f3ab347b7eece7d40650538a29da9454d713986b6d757aa12ade3363ba76
5.5.00,async.cpp,async::read_char(char*),0,1,0x00000860,0x00001860,0x00401860,160,55,2e40289234eb1578a32888209703b122685959c38a9546aaf91b4616bccfa8e7,af0044713948b2e97b3456ed909d82906cb070d66c9f06cc8a3fd627859dc0c9
5.5.00,async.cpp,async::read_string(char*),0,1,0x00000900,0x00001900,0x00401900,336,119,aa5935514a586549f6141004794fb58f0efe97764e32ab6f7ceb1722e3cf4d5a,f2620add75cbaa7c431457dcb25fb5b322ad20b7a5b1b1641e5e96b2c8ebb3c0
5.5.00,async.cpp,async::get_read_string_buf_count(),0,1,0x00000A50,0x00001A50,0x00401A50,16,7,8c8387e60d8cba010cd1e6f36bf5838aa232e10653e7b3801ca66d53cef3d568,86087ce727d4133db282c7ea05a1cda8ae26c5db349bc56ae75ce6b4785f1d99
5.5.00,Bixby110chkdlg.cpp,bixby110checkout::bixby110checkout(),0,1,0x00000A60,0x00001A60,0x00401A60,1552,354,25331869f638a31d900903307b63235036d4b6d3140c3b6031192bf05b864d60,824e3fe991c53cb348d82f7dedc564908deb7bed5b7ee3e73f4391327c6ea32e
5.5.00,Bixby110chkdlg.cpp,bixby110checkout::bixby110checkout(),1,1,0x00001070,0x00002070,0x00402070,1552,354,740e85eded4ab4e7b43e60099b01bf5c2130c708dd3d6912189ad8ac9ae57b85,824e3fe991c53cb348d82f7dedc564908deb7bed5b7ee3e73f4391327c6ea32e
5.5.00,Bixby110chkdlg.cpp,bixby110checkout::~bixby110checkout(),0,1,0x00001680,0x00002680,0x00402680,1248,304,822edce0d37f0aa083a980d893e041a0b0bc56ec045ab4aad3b68512d02e0196,c787e9a70c4f63c0c79dc0a06a768be816ec1a2a395070ce0e3385d5a773d7be
5.5.00,Bixby110chkdlg.cpp,bixby110checkout::~bixby110checkout(),1,1,0x00001B60,0x00002B60,0x00402B60,1248,304,d29a6106672a63afb7257b4108a88357a59c6d8efe7b6d31a170c626047abaf5,c787e9a70c4f63c0c79dc0a06a768be816ec1a2a395070ce0e3385d5a773d7be
