version,file_offset,matched_terms,string
5.5.00,0x00037801,exhaust fan,Exhaust fan full power
5.5.00,0x00037821,exhaust fan,Testing the exhaust fan at full power
5.5.00,0x00037923,exhaust fan,Exhaust fan 1/2 power
5.5.00,0x00037943,exhaust fan,Testing the exhaust fan at half power
5.5.00,0x00037A45,exhaust fan,Exhaust fan off
5.5.00,0x00037A65,exhaust fan,Testing the exhaust fan off
5.5.00,0x00037B67,igniter,'1' side igniter test
5.5.00,0x00037B87,igniter,Testing the igniters
5.5.00,0x00037C07,igniter,Igniter connections; fuse; igniter
5.5.00,0x00037C89,igniter,'2' side igniter test
5.5.00,0x00037CA9,igniter,Testing the igniters
5.5.00,0x00037D29,igniter,Igniter connections; fuse; igniter
5.5.00,0x00037DAB,igniter,'1' side igniter check
5.5.00,0x00037DCB,igniter,Checking the igniters
5.5.00,0x00037E4B,igniter,Igniter connections; fuse; igniter
5.5.00,0x00037ECD,igniter,'2' side igniter check
5.5.00,0x00037EED,igniter,Checking the igniters
5.5.00,0x00037F6D,igniter,Igniter connections; fuse; igniter
5.5.00,0x00038111,plate motor,Plate motor cycle test
5.5.00,0x00038131,plate motor,Testing the plate motor
5.5.00,0x000381B1,plate motor,Plate motor
5.5.00,0x00038EB7,plate motor,Plate motor on
5.5.00,0x00038ED7,plate motor,Is the plate motor running?
5.5.00,0x00038FD9,plate motor,Plate motor off
5.5.00,0x00038FF9,plate motor,Wait for the plate motor to turn off
5.5.00,0x00039AAB,igniter,Igniter board wiring
5.5.00,0x0003A681,wood,Fuel select switch wood / B
5.5.00,0x0003A6A1,wood,Switch to wood / setting B
5.5.00,0x0003A7A3,corn,Fuel select switch corn / A
5.5.00,0x0003A7C3,corn,Switch to corn / setting A
5.5.00,0x0003AA03,checksum,Checksum verified
5.5.00,0x0003AA23,checksum,Calculating checksum
5.5.00,0x0003AAA3,checksum,Return to Monitor and recalculate checksum
5.5.00,0x0003AB25,data format,Data format matched
5.5.00,0x0003AB45,data format,Checking data format
5.5.00,0x0003ABC5,data format,Set the correct software version data format
5.5.00,0x0003BB29,telemetry,Telemetry
5.5.00,0x0003BEB9,biomass,5% ash Biomass
5.5.00,0x0003BF11,biomass,2% ash Biomass
5.5.00,0x0003BF69,wood,Wood - Lean
5.5.00,0x0003BFC1,wood,Wood - Rich
5.5.00,0x0003C071,biomass,5% ash Biomass
5.5.00,0x0003C0C9,biomass,2% ash Biomass
5.5.00,0x0003C121,wood,Wood - Lean
5.5.00,0x0003C179,wood,Wood - Rich
5.5.00,0x0003CE29,igniter,Igniter time %
5.5.00,0x0003DC41,igniter,Igniter time %
5.5.00,0x0003E121,stove software,Stove software version
5.5.00,0x0003E179,checksum,Stove checksum
5.5.00,0x0003E1D1,bixcheck;checksum,BixCheck checksum
5.5.00,0x0003E229,data format,Stove data format
5.5.00,0x0003E281,bixcheck;data format,BixCheck data format
5.5.00,0x0003E2D9,serial,Serial number
5.5.00,0x0003EA81,exhaust fan,Exhaust fan speed
5.5.00,0x0003EAD9,exhaust fan,Exhaust fan phase
5.5.00,0x0003EBE1,igniter,Igniter state
5.5.00,0x0003EC01,igniter,"Igniter code, Igniter state"
5.5.00,0x0003F001,igniter,Igniter current
5.5.00,0x0003F021,igniter,Igniter current
5.5.00,0x0003F109,exhaust fan,Exhaust fan target
5.5.00,0x0003F2C1,telemetry,Telemetry Mode
5.5.00,0x0003F806,serial,Serial port open failed
5.5.00,0x0003FA68,checkout,Waiting after checkout mode off: %d
5.5.00,0x0003FB44,checkout,The checkout file:
5.5.00,0x0003FB7C,checkout,Checkout File Save
5.5.00,0x0003FBD3,checksum,Checksum: %04x
5.5.00,0x0003FBE4,data format,Data Format: %02x
5.5.00,0x0003FBF8,serial,Serial Number: %s
5.5.00,0x0003FD74,checkout,COM %d: Bixby Energy 110 / 115 Checkout 5.5.00
5.5.00,0x0003FE3F,checkout,Bixby110Checkout
5.5.00,0x0003FE6C,checksum,Internal checksum: %x  Calculated checksum: %x
5.5.00,0x0003FE9C,checksum,Checksum problem. Check in the Monitor
5.5.00,0x0003FEF0,data format,Data format problem. Check in the Monitor
5.5.00,0x000401D0,checksum,These show the checksum information.
5.5.00,0x00040210,serial,"These parameters set up the serial number, model name, "
5.5.00,0x0004058B,telemetry,with the check boxes in the Telemetry window.
5.5.00,0x000408A0,exhaust fan,exhaust fan and the right is -30% to +30% for the feed rate.
5.5.00,0x000408DE,exhaust fan,"When this box is checked, then the exhaust fan control is "
5.5.00,0x00040AB0,lean burn,Sets the adjustments that are active while in the lean burn 
5.5.00,0x00040BA8,exhaust fan,adjustment for the exhaust fan and +30 percent adjustment for 
5.5.00,0x00040C4B,lean burn,stove will enter lean burn recovery mode. This is a percentage 
5.5.00,0x00040CCB,telemetry,in Telemetry. The drop limit determines the amount the exhaust 
