version,table,index,value,value_hex,symbol,section_offset
5.5.01,feedwheel,0,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3460
5.5.01,feedwheel,1,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3461
5.5.01,feedwheel,2,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3462
5.5.01,feedwheel,3,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3463
5.5.01,feedwheel,4,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3464
5.5.01,feedwheel,5,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3465
5.5.01,feedwheel,6,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3466
5.5.01,feedwheel,7,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3467
5.5.01,feedwheel,8,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3468
5.5.01,feedwheel,9,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3469
5.5.01,feedwheel,10,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x346A
5.5.01,feedwheel,11,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x346B
5.5.01,feedwheel,12,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x346C
5.5.01,feedwheel,13,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x346D
5.5.01,feedwheel,14,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x346E
5.5.01,feedwheel,15,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x346F
5.5.01,feedwheel,16,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3470
5.5.01,feedwheel,17,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3471
5.5.01,feedwheel,18,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3472
5.5.01,feedwheel,19,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3473
5.5.01,feedwheel,20,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3474
5.5.01,feedwheel,21,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3475
5.5.01,feedwheel,22,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3476
5.5.01,feedwheel,23,100,0x64,Bixby110FeedwheelCombustionAdjustments,0x3477
