comparison,group,index,status,old_type,new_type,old_label,new_label,old_instruction,new_instruction,old_failure_hint,new_failure_hint,old_ui_reachable,new_ui_reachable
5.0.21_to_5.5.00,automatic,0,same,1,1,Exhaust fan full power,Exhaust fan full power,Testing the exhaust fan at full power,Testing the exhaust fan at full power,Fan wiring; check if R59 is removed,Fan wiring; check if R59 is removed,True,True
5.0.21_to_5.5.00,automatic,1,same,1,1,Exhaust fan 1/2 power,Exhaust fan 1/2 power,Testing the exhaust fan at half power,Testing the exhaust fan at half power,Fan wiring; check if R59 is removed,Fan wiring; check if R59 is removed,True,True
5.0.21_to_5.5.00,automatic,2,same,1,1,Exhaust fan off,Exhaust fan off,Testing the exhaust fan off,Testing the exhaust fan off,Fan wiring; check if R59 is removed,Fan wiring; check if R59 is removed,True,True
5.0.21_to_5.5.00,automatic,3,same,1,1,'1' side igniter test,'1' side igniter test,Testing the igniters,Testing the igniters,Igniter connections; fuse; igniter,Igniter connections; fuse; igniter,True,True
5.0.21_to_5.5.00,automatic,4,same,1,1,'2' side igniter test,'2' side igniter test,Testing the igniters,Testing the igniters,Igniter connections; fuse; igniter,Igniter connections; fuse; igniter,True,True
5.0.21_to_5.5.00,automatic,5,same,1,1,'1' side igniter check,'1' side igniter check,Checking the igniters,Checking the igniters,Igniter connections; fuse; igniter,Igniter connections; fuse; igniter,True,True
5.0.21_to_5.5.00,automatic,6,same,1,1,'2' side igniter check,'2' side igniter check,Checking the igniters,Checking the igniters,Igniter connections; fuse; igniter,Igniter connections; fuse; igniter,True,True
5.0.21_to_5.5.00,automatic,7,same,1,1,Feed motor / sensor,Feed motor / sensor,"Testing the feed motor, magnets, and sensor","Testing the feed motor, magnets, and sensor",Sensor; motor; magnets,Sensor; motor; magnets,True,True
5.0.21_to_5.5.00,automatic,8,same,1,1,Plate motor cycle test,Plate motor cycle test,Testing the plate motor,Testing the plate motor,Plate motor,Plate motor,False,False
5.0.21_to_5.5.00,iic_verification,0,same,1,1,Data communication link,Data communication link,Reading configuration data,Reading configuration data,Check connection; check software version,Check connection; check software version,True,True
5.0.21_to_5.5.00,iic_verification,1,same,1,1,Checksum verified,Checksum verified,Calculating checksum,Calculating checksum,Return to Monitor and recalculate checksum,Return to Monitor and recalculate checksum,True,True
5.0.21_to_5.5.00,iic_verification,2,same,1,1,Data format matched,Data format matched,Checking data format,Checking data format,Set the correct software version data format,Set the correct software version data format,True,True
5.0.21_to_5.5.00,interactive,0,same,1,1,Front panel buttons off,Front panel buttons off,Don't press any front panel buttons,Don't press any front panel buttons,Control cable; don't press any buttons,Control cable; don't press any buttons,True,True
5.0.21_to_5.5.00,interactive,1,same,1,1,Front panel ON button,Front panel ON button,Press the On button,Press the On button,Control cable; press only the ON button,Control cable; press only the ON button,True,True
5.0.21_to_5.5.00,interactive,2,same,1,1,Front panel OFF button,Front panel OFF button,Press the Off button,Press the Off button,Control cable; press only the OFF button,Control cable; press only the OFF button,True,True
5.0.21_to_5.5.00,interactive,3,same,1,1,Front panel UP button,Front panel UP button,Press the Up button,Press the Up button,Control cable; press only the UP button,Control cable; press only the UP button,True,True
5.0.21_to_5.5.00,interactive,4,same,1,1,Front panel DOWN button,Front panel DOWN button,Press the Down button,Press the Down button,Control cable; press only the DOWN button,Control cable; press only the DOWN button,True,True
5.0.21_to_5.5.00,interactive,5,same,1,1,Front panel LEDs on,Front panel LEDs on,Are all LEDs on?,Are all LEDs on?,Control cable,Control cable,True,True
5.0.21_to_5.5.00,interactive,6,same,1,1,Front panel LEDs off,Front panel LEDs off,Are all LEDs off?,Are all LEDs off?,Control cable,Control cable,True,True
5.0.21_to_5.5.00,interactive,7,same,1,1,Door switch open,Door switch open,Open the front door,Open the front door,Switch wiring; circuitboard,Switch wiring; circuitboard,True,True
5.0.21_to_5.5.00,interactive,8,same,1,1,Door switch closed,Door switch closed,Close the front door,Close the front door,Switch wiring; switch tab,Switch wiring; switch tab,True,True
5.0.21_to_5.5.00,interactive,9,same,1,1,Ash drawer switch open,Ash drawer switch open,Open the ash drawer,Open the ash drawer,Switch wiring,Switch wiring,True,True
5.0.21_to_5.5.00,interactive,10,same,1,1,Ash drawer switch closed,Ash drawer switch closed,Close the ash drawer,Close the ash drawer,Switch wiring,Switch wiring,True,True
5.0.21_to_5.5.00,interactive,11,same,1,1,Plate motor on,Plate motor on,Is the plate motor running?,Is the plate motor running?,Motor wiring,Motor wiring,True,True
5.0.21_to_5.5.00,interactive,12,same,2,2,Plate motor off,Plate motor off,Wait for the plate motor to turn off,Wait for the plate motor to turn off,Limit switch,Limit switch,True,True
5.0.21_to_5.5.00,interactive,13,same,1,1,Plates in burn position,Plates in burn position,Are the plates in burn position?,Are the plates in burn position?,Limit switch; motor brake,Limit switch; motor brake,True,True
5.0.21_to_5.5.00,interactive,14,same,1,1,Air pump on,Air pump on,Is the air pump on?,Is the air pump on?,Pump wiring,Pump wiring,True,True
5.0.21_to_5.5.00,interactive,15,same,1,1,Air pump off,Air pump off,Is the air pump off?,Is the air pump off?,Pump wiring,Pump wiring,True,True
5.0.21_to_5.5.00,interactive,16,same,1,1,Convection fan level 1,Convection fan level 1,Is the convection fan on level 1?,Is the convection fan on level 1?,Fan wiring,Fan wiring,True,True
5.0.21_to_5.5.00,interactive,17,same,1,1,Convection fan level 2,Convection fan level 2,Is the convection fan on level 2?,Is the convection fan on level 2?,Fan wiring,Fan wiring,True,True
5.0.21_to_5.5.00,interactive,18,same,1,1,Convection fan level 3,Convection fan level 3,Is the convection fan on level 3?,Is the convection fan on level 3?,Fan wiring,Fan wiring,True,True
5.0.21_to_5.5.00,interactive,19,same,1,1,Convection fan level 4,Convection fan level 4,Is the convection fan on level 4?,Is the convection fan on level 4?,Fan wiring,Fan wiring,True,True
5.0.21_to_5.5.00,interactive,20,same,1,1,Convection fan off,Convection fan off,Is the convection fan off?,Is the convection fan off?,Fan wiring,Fan wiring,True,True
5.0.21_to_5.5.00,interactive,21,same,1,1,Thermometer,Thermometer,Temperature:,Temperature:,Igniter board wiring,Igniter board wiring,True,True
5.0.21_to_5.5.00,interactive,22,same,1,1,Fan potentiometer low,Fan potentiometer low,Turn the fan potentiometer to the left,Turn the fan potentiometer to the left,Circuitboard wiring,Circuitboard wiring,True,True
5.0.21_to_5.5.00,interactive,23,same,1,1,Fan potentiometer high,Fan potentiometer high,Turn the fan potentiometer to the right,Turn the fan potentiometer to the right,Circuitboard wiring,Circuitboard wiring,True,True
5.0.21_to_5.5.00,interactive,24,same,1,1,Fan potentiometer detent,Fan potentiometer detent,Turn the fan potentiometer to the detent position,Turn the fan potentiometer to the detent position,Circuitboard wiring,Circuitboard wiring,True,True
5.0.21_to_5.5.00,interactive,25,same,1,1,Feed potentiometer low,Feed potentiometer low,Turn the feed potentiometer to the left,Turn the feed potentiometer to the left,Circuitboard wiring,Circuitboard wiring,True,True
5.0.21_to_5.5.00,interactive,26,same,1,1,Feed potentiometer high,Feed potentiometer high,Turn the feed potentiometer to the right,Turn the feed potentiometer to the right,Circuitboard wiring,Circuitboard wiring,True,True
5.0.21_to_5.5.00,interactive,27,same,1,1,Feed potentiometer detent,Feed potentiometer detent,Turn the feed potentiometer to the detent position,Turn the feed potentiometer to the detent position,Circuitboard wiring,Circuitboard wiring,True,True
5.0.21_to_5.5.00,interactive,28,same,1,1,Thermocouple,Thermocouple,Make sure the thermocouple is plugged in,Make sure the thermocouple is plugged in,Connection,Connection,True,True
5.0.21_to_5.5.00,interactive,29,same,1,1,Thermostat open,Thermostat open,Unplug the thermostat block,Unplug the thermostat block,"Circuitboard, connection","Circuitboard, connection",True,True
5.0.21_to_5.5.00,interactive,30,same,1,1,Thermostat closed,Thermostat closed,Plug in the thermostat block,Plug in the thermostat block,"Circuitboard, connection","Circuitboard, connection",True,True
