comparison,table,index,status,old_value,new_value,old_value_hex,new_value_hex
5.0.21_to_5.5.00,altitude,0,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,1,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,2,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,3,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,4,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,5,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,6,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,7,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,8,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,9,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,10,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,11,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,12,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,13,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,14,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,15,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,16,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,17,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,18,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,19,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,20,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,21,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,22,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,23,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,24,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,25,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,26,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,27,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,28,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,29,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,30,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,31,same,125,125,0x7D,0x7D
5.0.21_to_5.5.00,altitude,32,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,33,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,34,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,35,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,36,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,37,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,38,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,39,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,40,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,41,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,42,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,43,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,44,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,45,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,46,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,47,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,48,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,49,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,50,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,51,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,52,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,53,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,54,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,55,same,150,150,0x96,0x96
5.0.21_to_5.5.00,altitude,56,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,57,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,58,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,59,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,60,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,61,same,100,100,0x64,0x64
5.0.21_to_5.5.00,altitude,62,same,100,100,0x64,0x64
