comparison,table,index,status,old_type,new_type,old_label,new_label,old_units_or_description,new_units_or_description,old_value_or_default,new_value_or_default,old_unit,new_unit,old_address_hex,new_address_hex,old_maximum,new_maximum,old_minimum,new_minimum,old_length_or_mask,new_length_or_mask,old_display_mode,new_display_mode
5.0.21_to_5.5.00,adjustment_descriptions,0,same,1,1,Fan,Fan,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,1,same,1,1,Fuel A,Fuel A,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,2,same,1,1,Fuel B,Fuel B,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,3,same,1,1,Feed,Feed,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,4,same,1,1,Fuel A,Fuel A,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,5,same,1,1,Fuel B,Fuel B,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,6,same,1,1,Ash,Ash,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,7,same,1,1,Fuel A,Fuel A,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustment_descriptions,8,same,1,1,Fuel B,Fuel B,,,0,0,X,X,0x00,0x00,0,0,0,0,1,1,1,1
5.0.21_to_5.5.00,adjustments,0,changed,1,1,L1,L1,,,0,0,A,A,0x40,0x40,0,255,0,0,1,1,2,2
5.0.21_to_5.5.00,adjustments,1,changed,1,1,L2,L2,,,0,0,A,A,0x41,0x41,0,255,0,0,1,1,2,2
5.0.21_to_5.5.00,adjustments,2,changed,1,1,L3,L3,,,0,0,A,A,0x42,0x42,0,255,0,0,1,1,2,2
5.0.21_to_5.5.00,adjustments,3,changed,1,1,L4,L4,,,0,0,A,A,0x43,0x43,0,255,0,0,1,1,2,2
5.0.21_to_5.5.00,adjustments,4,changed,1,1,L5,L5,,,0,0,A,A,0x44,0x44,0,255,0,0,1,1,2,2
