comparison,source_old,source_new,name,occurrence,status,old_va,new_va,old_size,new_size,old_normalized_sha256,new_normalized_sha256
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,CalibrateMicrosecondTimer(HWND__*),0,same_normalized,0x00407F40,0x00408140,160,160,95b08e77d22c35453257f9734fa4973967b6913896412100d77d8c4b5653b6c9,95b08e77d22c35453257f9734fa4973967b6913896412100d77d8c4b5653b6c9
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,CalibrateMicrosecondTimer_6E030(HWND__*),0,same_normalized,0x00408030,0x00408230,160,160,788fbbec485a41353982f756760cde7d6baab4ac6f01083b8bd8a24f671b3068,788fbbec485a41353982f756760cde7d6baab4ac6f01083b8bd8a24f671b3068
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,CloseDebugWindow(),0,same_normalized,0x00407B10,0x00407D10,96,96,8275fed5474b3066ddb785d16572c165198e261caae1b69cefabe39fa5ce18fb,8275fed5474b3066ddb785d16572c165198e261caae1b69cefabe39fa5ce18fb
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,DelayMicrosecond(unsigned int),0,same_normalized,0x00407F00,0x00408100,64,64,54bac773aeadb030f4a059dda23acf443e63f2378384631b75052749e7b46b69,54bac773aeadb030f4a059dda23acf443e63f2378384631b75052749e7b46b69
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,DelayMicrosecond_6E030(unsigned int),0,same_normalized,0x00407FE0,0x004081E0,80,80,c67a17a7fcaacd32afa3577883f580f9374d66f680b91f1a409e5fe614677e65,c67a17a7fcaacd32afa3577883f580f9374d66f680b91f1a409e5fe614677e65
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,"FormatTime(_SYSTEMTIME*, char*)",0,same_normalized,0x004080D0,0x004082D0,496,496,b1b5f214bb29a3e3ef4a43d001070aefe0c9a8afdde8291678122b3cffe258e2,b1b5f214bb29a3e3ef4a43d001070aefe0c9a8afdde8291678122b3cffe258e2
5.0.21_to_5.5.00,main.cpp,main.cpp,GetComPort(),0,same_normalized,0x00426410,0x004292A0,64,64,92e145e74687f40e5b55e1a64626e906f89859e9445abadf64c59f115b60e4a0,92e145e74687f40e5b55e1a64626e906f89859e9445abadf64c59f115b60e4a0
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,"GetCompressedDate(_SYSTEMTIME*, char*)",0,same_normalized,0x004082C0,0x004084C0,64,64,8829aae014a695dff084aeee8c02c1c354c66e2d7332592e91da2ed097d550ae,8829aae014a695dff084aeee8c02c1c354c66e2d7332592e91da2ed097d550ae
5.0.21_to_5.5.00,main.cpp,main.cpp,"GetTextExtentCharSum(HDC__*, char const*, int, tagSIZE*)",0,same_normalized,0x00426450,0x004292E0,112,112,4a6dd3aebe0acf58cdeab70cb18b4d87cf4adc708fcfe03a54931bd28b5ab53c,4a6dd3aebe0acf58cdeab70cb18b4d87cf4adc708fcfe03a54931bd28b5ab53c
5.0.21_to_5.5.00,Bixby110DataElements.cpp,Bixby110DataElements.cpp,"ISBeep(unsigned long, unsigned long)",0,same_normalized,0x004078E0,0x00407AE0,48,48,56bc1371428508752121109c9743a53d3d7d7a4fb7ba50b94fb1b00a33582f0e,56bc1371428508752121109c9743a53d3d7d7a4fb7ba50b94fb1b00a33582f0e
5.0.21_to_5.5.00,,Bixby110DataElements.cpp,"PercentageToStoveMultiplyParameter(unsigned char, unsigned char)",0,added,,0x00407A20,,192,,6af9d8d40b0b261c0e79230642fdc75c5a7b60c7b5b6ee8ad3fd870fb151c464
5.0.21_to_5.5.00,,Bixby110DataElements.cpp,"RangeCheckAssumingValidEntry(_BXDataElement_*, char*)",0,added,,0x004086E0,,80,,af8c378d7ae244eec30f4b686af284b772a903b50cce3943b3a13ecb1b81e861
