word_address,value,printable
0x2100,0xEF,
0x2101,0xCE,
0x2102,0x04,
0x2103,0x32,2
0x2104,0x30,0
0x2105,0x36,6
0x2106,0x30,0
0x2107,0x00,
0x2108,0x00,
0x2109,0x00,
0x210A,0x00,
0x210B,0x30,0
0x210C,0x31,1
0x210D,0x31,1
0x210E,0x30,0
0x210F,0x32,2
0x2110,0x30,0
0x2111,0x30,0
0x2112,0x37,7
0x2113,0x42,B
0x2114,0x69,i
0x2115,0x78,x
0x2116,0x62,b
0x2117,0x79,y
0x2118,0x20, 
0x2119,0x4D,M
0x211A,0x6F,o
0x211B,0x64,d
0x211C,0x65,e
0x211D,0x6C,l
0x211E,0x20, 
0x211F,0x31,1
0x2120,0x31,1
0x2121,0x35,5
0x2122,0x00,
0x2123,0xFF,
0x2124,0xFF,
0x2125,0xFF,
0x2126,0xFF,
0x2127,0xFF,
0x2128,0xFF,
0x2129,0xFF,
0x212A,0xFF,
0x212B,0xFF,
0x212C,0xFF,
0x212D,0xFF,
0x212E,0xFF,
0x212F,0xFF,
0x2130,0x46,F
0x2131,0x46,F
0x2132,0x46,F
0x2133,0x46,F
0x2134,0x46,F
0x2135,0x46,F
0x2136,0x46,F
0x2137,0x46,F
0x2138,0x64,d
0x2139,0x64,d
0x213A,0x64,d
0x213B,0x64,d
0x213C,0x64,d
0x213D,0x64,d
0x213E,0x64,d
0x213F,0x64,d
0x2140,0x20, 
0x2141,0x20, 
0x2142,0x20, 
0x2143,0x20, 
0x2144,0x20, 
0x2145,0x20, 
0x2146,0x20, 
0x2147,0x20, 
0x2148,0x46,F
0x2149,0x64,d
0x214A,0x46,F
0x214B,0x55,U
0x214C,0x64,d
0x214D,0x50,P
0x214E,0x50,P
0x214F,0x50,P
0x2150,0x50,P
0x2151,0x50,P
0x2152,0x50,P
0x2153,0x50,P
0x2154,0x50,P
0x2155,0x55,U
0x2156,0x55,U
0x2157,0x55,U
0x2158,0x55,U
0x2159,0x55,U
0x215A,0x55,U
0x215B,0x55,U
0x215C,0x55,U
0x215D,0x11,
0x215E,0x11,
0x215F,0x11,
0x2160,0x11,
0x2161,0x11,
0x2162,0x11,
0x2163,0x11,
0x2164,0x11,
0x2165,0x50,P
0x2166,0x55,U
0x2167,0x50,P
0x2168,0x55,U
0x2169,0x4B,K
0x216A,0xFF,
0x216B,0xFF,
0x216C,0xFF,
0x216D,0xFF,
0x216E,0xFF,
0x216F,0xFF,
0x2170,0xFF,
0x2171,0xFF,
0x2172,0xFF,
0x2173,0xFF,
0x2174,0xFF,
0x2175,0xFF,
0x2176,0xFF,
0x2177,0xFF,
0x2178,0xFF,
0x2179,0xFF,
0x217A,0xFF,
0x217B,0xFF,
0x217C,0xFF,
0x217D,0xFF,
0x217E,0xFF,
