word_address,word,mnemonic,operands,decode_status
0x0000,0x3018,movlw,0x18,instruction
0x0001,0x008A,movwf,0x0A,instruction
0x0002,0x2800,goto,0x000,instruction
0x0003,0x0000,nop,,instruction
0x0004,0x00FF,movwf,0x7F,instruction
0x0005,0x0E03,swapf,"0x03, W",instruction
0x0006,0x0183,clrf,0x03,instruction
0x0007,0x00A1,movwf,0x21,instruction
0x0008,0x080A,movf,"0x0A, W",instruction
0x0009,0x00A0,movwf,0x20,instruction
0x000A,0x018A,clrf,0x0A,instruction
0x000B,0x0804,movf,"0x04, W",instruction
0x000C,0x00A2,movwf,0x22,instruction
0x000D,0x0877,movf,"0x77, W",instruction
0x000E,0x00A3,movwf,0x23,instruction
0x000F,0x0878,movf,"0x78, W",instruction
0x0010,0x00A4,movwf,0x24,instruction
0x0011,0x0879,movf,"0x79, W",instruction
0x0012,0x00A5,movwf,0x25,instruction
0x0013,0x087A,movf,"0x7A, W",instruction
0x0014,0x00A6,movwf,0x26,instruction
0x0015,0x087B,movf,"0x7B, W",instruction
0x0016,0x00A7,movwf,0x27,instruction
0x0017,0x1383,bcf,"0x03, 7",instruction
0x0018,0x1283,bcf,"0x03, 5",instruction
0x0019,0x1E0B,btfss,"0x0B, 4",instruction
0x001A,0x281D,goto,0x01D,instruction
0x001B,0x188B,btfsc,"0x0B, 1",instruction
0x001C,0x283C,goto,0x03C,instruction
0x001D,0x308C,movlw,0x8C,instruction
0x001E,0x0084,movwf,0x04,instruction
0x001F,0x1E80,btfss,"0x00, 5",instruction
0x0020,0x2823,goto,0x023,instruction
0x0021,0x1A8C,btfsc,"0x0C, 5",instruction
0x0022,0x283F,goto,0x03F,instruction
0x0023,0x308C,movlw,0x8C,instruction
0x0024,0x0084,movwf,0x04,instruction
0x0025,0x1C80,btfss,"0x00, 1",instruction
0x0026,0x2829,goto,0x029,instruction
0x0027,0x188C,btfsc,"0x0C, 1",instruction
0x0028,0x2842,goto,0x042,instruction
0x0029,0x0822,movf,"0x22, W",instruction
0x002A,0x0084,movwf,0x04,instruction
0x002B,0x0823,movf,"0x23, W",instruction
0x002C,0x00F7,movwf,0x77,instruction
0x002D,0x0824,movf,"0x24, W",instruction
0x002E,0x00F8,movwf,0x78,instruction
0x002F,0x0825,movf,"0x25, W",instruction
0x0030,0x00F9,movwf,0x79,instruction
0x0031,0x0826,movf,"0x26, W",instruction
0x0032,0x00FA,movwf,0x7A,instruction
0x0033,0x0827,movf,"0x27, W",instruction
0x0034,0x00FB,movwf,0x7B,instruction
0x0035,0x0820,movf,"0x20, W",instruction
0x0036,0x008A,movwf,0x0A,instruction
0x0037,0x0E21,swapf,"0x21, W",instruction
0x0038,0x0083,movwf,0x03,instruction
0x0039,0x0EFF,swapf,"0x7F, F",instruction
0x003A,0x0E7F,swapf,"0x7F, W",instruction
0x003B,0x0009,retfie,,instruction
0x003C,0x118A,bcf,"0x0A, 3",instruction
0x003D,0x120A,bcf,"0x0A, 4",instruction
0x003E,0x2963,goto,0x163,instruction
0x003F,0x118A,bcf,"0x0A, 3",instruction
0x0040,0x120A,bcf,"0x0A, 4",instruction
0x0041,0x28C6,goto,0x0C6,instruction
0x0042,0x118A,bcf,"0x0A, 3",instruction
0x0043,0x120A,bcf,"0x0A, 4",instruction
0x0044,0x29A7,goto,0x1A7,instruction
0x0045,0x100A,bcf,"0x0A, 0",instruction
0x0046,0x108A,bcf,"0x0A, 1",instruction
0x0047,0x110A,bcf,"0x0A, 2",instruction
0x0048,0x0782,addwf,"0x02, F",instruction
0x0049,0x3412,retlw,0x12,instruction
0x004A,0x3414,retlw,0x14,instruction
0x004B,0x3416,retlw,0x16,instruction
0x004C,0x3418,retlw,0x18,instruction
0x004D,0x341A,retlw,0x1A,instruction
0x004E,0x341C,retlw,0x1C,instruction
0x004F,0x341E,retlw,0x1E,instruction
0x0050,0x3420,retlw,0x20,instruction
0x0051,0x100A,bcf,"0x0A, 0",instruction
0x0052,0x108A,bcf,"0x0A, 1",instruction
0x0053,0x110A,bcf,"0x0A, 2",instruction
0x0054,0x0782,addwf,"0x02, F",instruction
0x0055,0x3428,retlw,0x28,instruction
0x0056,0x342D,retlw,0x2D,instruction
0x0057,0x3432,retlw,0x32,instruction
0x0058,0x3437,retlw,0x37,instruction
0x0059,0x343C,retlw,0x3C,instruction
0x005A,0x3441,retlw,0x41,instruction
0x005B,0x3446,retlw,0x46,instruction
0x005C,0x344B,retlw,0x4B,instruction
0x005D,0x3450,retlw,0x50,instruction
0x005E,0x3455,retlw,0x55,instruction
0x005F,0x345A,retlw,0x5A,instruction
0x0060,0x100A,bcf,"0x0A, 0",instruction
0x0061,0x108A,bcf,"0x0A, 1",instruction
0x0062,0x110A,bcf,"0x0A, 2",instruction
0x0063,0x0782,addwf,"0x02, F",instruction
0x0064,0x3400,retlw,0x00,instruction
0x0065,0x3400,retlw,0x00,instruction
0x0066,0x3438,retlw,0x38,instruction
0x0067,0x3404,retlw,0x04,instruction
0x0068,0x3408,retlw,0x08,instruction
0x0069,0x3407,retlw,0x07,instruction
0x006A,0x348C,retlw,0x8C,instruction
0x006B,0x340A,retlw,0x0A,instruction
0x006C,0x100A,bcf,"0x0A, 0",instruction
0x006D,0x108A,bcf,"0x0A, 1",instruction
0x006E,0x110A,bcf,"0x0A, 2",instruction
0x006F,0x0782,addwf,"0x02, F",instruction
0x0070,0x34A0,retlw,0xA0,instruction
0x0071,0x3405,retlw,0x05,instruction
0x0072,0x3440,retlw,0x40,instruction
0x0073,0x340B,retlw,0x0B,instruction
0x0074,0x3400,retlw,0x00,instruction
0x0075,0x340F,retlw,0x0F,instruction
0x0076,0x34E0,retlw,0xE0,instruction
0x0077,0x3410,retlw,0x10,instruction
0x0078,0x100A,bcf,"0x0A, 0",instruction
0x0079,0x108A,bcf,"0x0A, 1",instruction
0x007A,0x110A,bcf,"0x0A, 2",instruction
0x007B,0x0782,addwf,"0x02, F",instruction
0x007C,0x3464,retlw,0x64,instruction
0x007D,0x3470,retlw,0x70,instruction
0x007E,0x100A,bcf,"0x0A, 0",instruction
0x007F,0x108A,bcf,"0x0A, 1",instruction
0x0080,0x110A,bcf,"0x0A, 2",instruction
0x0081,0x0782,addwf,"0x02, F",instruction
0x0082,0x3400,retlw,0x00,instruction
0x0083,0x3400,retlw,0x00,instruction
0x0084,0x3408,retlw,0x08,instruction
0x0085,0x3407,retlw,0x07,instruction
0x0086,0x100A,bcf,"0x0A, 0",instruction
0x0087,0x108A,bcf,"0x0A, 1",instruction
0x0088,0x110A,bcf,"0x0A, 2",instruction
0x0089,0x0782,addwf,"0x02, F",instruction
0x008A,0x3420,retlw,0x20,instruction
0x008B,0x341C,retlw,0x1C,instruction
0x008C,0x3480,retlw,0x80,instruction
0x008D,0x3416,retlw,0x16,instruction
0x008E,0x34C0,retlw,0xC0,instruction
0x008F,0x3412,retlw,0x12,instruction
0x0090,0x3412,retlw,0x12,instruction
0x0091,0x3410,retlw,0x10,instruction
0x0092,0x3410,retlw,0x10,instruction
0x0093,0x340E,retlw,0x0E,instruction
0x0094,0x3480,retlw,0x80,instruction
0x0095,0x340C,retlw,0x0C,instruction
0x0096,0x3440,retlw,0x40,instruction
0x0097,0x340B,retlw,0x0B,instruction
0x0098,0x343A,retlw,0x3A,instruction
0x0099,0x340A,retlw,0x0A,instruction
0x009A,0x100A,bcf,"0x0A, 0",instruction
0x009B,0x108A,bcf,"0x0A, 1",instruction
0x009C,0x110A,bcf,"0x0A, 2",instruction
0x009D,0x0782,addwf,"0x02, F",instruction
0x009E,0x3400,retlw,0x00,instruction
0x009F,0x3400,retlw,0x00,instruction
0x00A0,0x3468,retlw,0x68,instruction
0x00A1,0x3401,retlw,0x01,instruction
0x00A2,0x34D0,retlw,0xD0,instruction
0x00A3,0x3402,retlw,0x02,instruction
0x00A4,0x100A,bcf,"0x0A, 0",instruction
0x00A5,0x108A,bcf,"0x0A, 1",instruction
0x00A6,0x110A,bcf,"0x0A, 2",instruction
0x00A7,0x0782,addwf,"0x02, F",instruction
0x00A8,0x3410,retlw,0x10,instruction
0x00A9,0x340E,retlw,0x0E,instruction
0x00AA,0x3480,retlw,0x80,instruction
0x00AB,0x340C,retlw,0x0C,instruction
0x00AC,0x3410,retlw,0x10,instruction
0x00AD,0x340E,retlw,0x0E,instruction
0x00AE,0x100A,bcf,"0x0A, 0",instruction
0x00AF,0x108A,bcf,"0x0A, 1",instruction
0x00B0,0x110A,bcf,"0x0A, 2",instruction
0x00B1,0x0782,addwf,"0x02, F",instruction
0x00B2,0x3410,retlw,0x10,instruction
0x00B3,0x3410,retlw,0x10,instruction
0x00B4,0x3410,retlw,0x10,instruction
0x00B5,0x3410,retlw,0x10,instruction
0x00B6,0x3410,retlw,0x10,instruction
0x00B7,0x3410,retlw,0x10,instruction
0x00B8,0x3410,retlw,0x10,instruction
0x00B9,0x3410,retlw,0x10,instruction
0x00BA,0x100A,bcf,"0x0A, 0",instruction
0x00BB,0x108A,bcf,"0x0A, 1",instruction
0x00BC,0x110A,bcf,"0x0A, 2",instruction
0x00BD,0x0782,addwf,"0x02, F",instruction
0x00BE,0x343C,retlw,0x3C,instruction
0x00BF,0x344B,retlw,0x4B,instruction
0x00C0,0x345A,retlw,0x5A,instruction
0x00C1,0x3469,retlw,0x69,instruction
0x00C2,0x3478,retlw,0x78,instruction
0x00C3,0x3487,retlw,0x87,instruction
0x00C4,0x3496,retlw,0x96,instruction
0x00C5,0x34A5,retlw,0xA5,instruction
0x00C6,0x1E8C,btfss,"0x0C, 5",instruction
0x00C7,0x28E6,goto,0x0E6,instruction
0x00C8,0x081A,movf,"0x1A, W",instruction
0x00C9,0x1683,bsf,"0x03, 5",instruction
0x00CA,0x00E7,movwf,0x67,instruction
0x00CB,0x0867,movf,"0x67, W",instruction
0x00CC,0x3C03,sublw,0x03,instruction
0x00CD,0x1D03,btfss,"0x03, 2",instruction
0x00CE,0x28D2,goto,0x0D2,instruction
0x00CF,0x01C1,clrf,0x41,instruction
0x00D0,0x01C0,clrf,0x40,instruction
0x00D1,0x28E4,goto,0x0E4,instruction
0x00D2,0x0841,movf,"0x41, W",instruction
0x00D3,0x0AC1,incf,"0x41, F",instruction
0x00D4,0x3EA3,addlw,0xA3,instruction
0x00D5,0x0084,movwf,0x04,instruction
0x00D6,0x0867,movf,"0x67, W",instruction
0x00D7,0x0080,movwf,0x00,instruction
0x00D8,0x0AC0,incf,"0x40, F",instruction
0x00D9,0x0841,movf,"0x41, W",instruction
0x00DA,0x3C1C,sublw,0x1C,instruction
0x00DB,0x1803,btfsc,"0x03, 0",instruction
0x00DC,0x28E4,goto,0x0E4,instruction
0x00DD,0x01C1,clrf,0x41,instruction
0x00DE,0x0840,movf,"0x40, W",instruction
0x00DF,0x3C1C,sublw,0x1C,instruction
0x00E0,0x1803,btfsc,"0x03, 0",instruction
0x00E1,0x28E4,goto,0x0E4,instruction
0x00E2,0x01C1,clrf,0x41,instruction
0x00E3,0x01C0,clrf,0x40,instruction
0x00E4,0x1283,bcf,"0x03, 5",instruction
0x00E5,0x28C6,goto,0x0C6,instruction
0x00E6,0x118A,bcf,"0x0A, 3",instruction
0x00E7,0x120A,bcf,"0x0A, 4",instruction
0x00E8,0x2829,goto,0x029,instruction
0x00E9,0x16C3,bsf,"0x43, 5",instruction
0x00EA,0x3400,retlw,0x00,instruction
0x00EB,0x0064,clrwdt,,instruction
0x00EC,0x1CD2,btfss,"0x52, 1",instruction
0x00ED,0x28F3,goto,0x0F3,instruction
0x00EE,0x135D,bcf,"0x5D, 6",instruction
0x00EF,0x16DD,bsf,"0x5D, 5",instruction
0x00F0,0x15DD,bsf,"0x5D, 3",instruction
0x00F1,0x11B0,bcf,"0x30, 3",instruction
0x00F2,0x2925,goto,0x125,instruction
0x00F3,0x1C52,btfss,"0x52, 0",instruction
0x00F4,0x28FA,goto,0x0FA,instruction
0x00F5,0x20E9,call,0x0E9,instruction
0x00F6,0x175D,bsf,"0x5D, 6",instruction
0x00F7,0x12DD,bcf,"0x5D, 5",instruction
0x00F8,0x11DD,bcf,"0x5D, 3",instruction
0x00F9,0x2925,goto,0x125,instruction
0x00FA,0x1952,btfsc,"0x52, 2",instruction
0x00FB,0x28FE,goto,0x0FE,instruction
0x00FC,0x1DD2,btfss,"0x52, 3",instruction
0x00FD,0x2925,goto,0x125,instruction
0x00FE,0x1AD2,btfsc,"0x52, 5",instruction
0x00FF,0x2907,goto,0x107,instruction
0x0100,0x0B55,decfsz,"0x55, W",instruction
0x0101,0x2903,goto,0x103,instruction
0x0102,0x2907,goto,0x107,instruction
0x0103,0x0855,movf,"0x55, W",instruction
0x0104,0x3C04,sublw,0x04,instruction
0x0105,0x1803,btfsc,"0x03, 0",instruction
0x0106,0x2916,goto,0x116,instruction
0x0107,0x1D52,btfss,"0x52, 2",instruction
0x0108,0x290F,goto,0x10F,instruction
0x0109,0x085D,movf,"0x5D, W",instruction
0x010A,0x3907,andlw,0x07,instruction
0x010B,0x3C06,sublw,0x06,instruction
0x010C,0x1C03,btfss,"0x03, 0",instruction
0x010D,0x290F,goto,0x10F,instruction
0x010E,0x0ADD,incf,"0x5D, F",instruction
0x010F,0x1DD2,btfss,"0x52, 3",instruction
0x0110,0x2916,goto,0x116,instruction
0x0111,0x085D,movf,"0x5D, W",instruction
0x0112,0x3907,andlw,0x07,instruction
0x0113,0x1903,btfsc,"0x03, 2",instruction
0x0114,0x2916,goto,0x116,instruction
0x0115,0x03DD,decf,"0x5D, F",instruction
0x0116,0x0B55,decfsz,"0x55, W",instruction
0x0117,0x2919,goto,0x119,instruction
0x0118,0x0AD5,incf,"0x55, F",instruction
0x0119,0x0855,movf,"0x55, W",instruction
0x011A,0x3C04,sublw,0x04,instruction
0x011B,0x1803,btfsc,"0x03, 0",instruction
0x011C,0x291F,goto,0x11F,instruction
0x011D,0x3002,movlw,0x02,instruction
0x011E,0x00D5,movwf,0x55,instruction
0x011F,0x084C,movf,"0x4C, W",instruction
0x0120,0x065D,xorwf,"0x5D, W",instruction
0x0121,0x3907,andlw,0x07,instruction
0x0122,0x1903,btfsc,"0x03, 2",instruction
0x0123,0x2925,goto,0x125,instruction
0x0124,0x165D,bsf,"0x5D, 4",instruction
0x0125,0x0064,clrwdt,,instruction
0x0126,0x1AD2,btfsc,"0x52, 5",instruction
0x0127,0x292A,goto,0x12A,instruction
0x0128,0x1E52,btfss,"0x52, 4",instruction
0x0129,0x292B,goto,0x12B,instruction
