word_address,downloader_word,pickit_word,status
0x0000,0x3018,0x0000,changed
0x0001,0x008A,0x158A,changed
0x0002,0x2800,0x160A,changed
0x0003,0x0000,0x2E88,changed
0x07FF,,0x3400,pickit-only
0x0FF9,,0x13DD,pickit-only
0x0FFA,,0x118A,pickit-only
0x0FFB,,0x160A,pickit-only
0x0FFC,,0x2AD5,pickit-only
0x0FFD,,0x160A,pickit-only
0x0FFE,,0x2A53,pickit-only
0x0FFF,,0x2AB6,pickit-only
0x1790,,0x2F9D,pickit-only
0x1791,,0x3AFF,pickit-only
0x1792,,0x1D03,pickit-only
0x1793,,0x2F98,pickit-only
0x1794,,0x084A,pickit-only
0x1795,,0x3CAF,pickit-only
0x1796,,0x1803,pickit-only
0x1797,,0x2F9D,pickit-only
0x1798,,0x1BD0,pickit-only
0x1799,,0x2F9D,pickit-only
0x179A,,0x17D0,pickit-only
0x179B,,0x234B,pickit-only
0x179C,,0x01CD,pickit-only
0x179D,,0x084B,pickit-only
0x179E,,0x3C04,pickit-only
0x179F,,0x1803,pickit-only
0x17A0,,0x2FB3,pickit-only
0x17A1,,0x3AFF,pickit-only
0x17A2,,0x1D03,pickit-only
0x17A3,,0x2FA8,pickit-only
0x17A4,,0x084A,pickit-only
0x17A5,,0x3C27,pickit-only
0x17A6,,0x1803,pickit-only
0x17A7,,0x2FB3,pickit-only
0x17A8,,0x01CB,pickit-only
0x17A9,,0x01CA,pickit-only
0x17AA,,0x120A,pickit-only
0x17AB,,0x158A,pickit-only
0x17AC,,0x27EF,pickit-only
0x17AD,,0x160A,pickit-only
0x17AE,,0x118A,pickit-only
0x17AF,,0x12CC,pickit-only
0x17B0,,0x084C,pickit-only
0x17B1,,0x3907,pickit-only
0x17B2,,0x00F5,pickit-only
0x17B3,,0x158A,pickit-only
0x17B4,,0x160A,pickit-only
0x17B5,,0x2D9A,pickit-only
0x17B6,,0x3FFF,pickit-only
0x17B7,,0x3FFF,pickit-only
0x17B8,,0x3FFF,pickit-only
0x17B9,,0x3FFF,pickit-only
0x17BA,,0x3FFF,pickit-only
0x17BB,,0x3FFF,pickit-only
0x17BC,,0x3FFF,pickit-only
0x17BD,,0x3FFF,pickit-only
0x17BE,,0x3FFF,pickit-only
0x17BF,,0x3FFF,pickit-only
0x17C0,,0x3FFF,pickit-only
0x17C1,,0x3FFF,pickit-only
0x17C2,,0x3FFF,pickit-only
0x17C3,,0x3FFF,pickit-only
0x17C4,,0x3FFF,pickit-only
0x17C5,,0x3FFF,pickit-only
0x17C6,,0x3FFF,pickit-only
0x17C7,,0x3FFF,pickit-only
0x17C8,,0x3FFF,pickit-only
0x17C9,,0x3FFF,pickit-only
0x17CA,,0x3FFF,pickit-only
0x17CB,,0x3FFF,pickit-only
0x17CC,,0x3FFF,pickit-only
0x17CD,,0x3FFF,pickit-only
