anchor,2.02,2.06,2.70,2.71,confidence
reset_vector,0x0000,0x0000,0x0000,0x0000,high
interrupt_vector,0x0004,0x0004,0x0004,0x0004,high
uart_rx_isr,0x00FA,0x00C6,0x00AE,0x00AE,medium
command_buffer_get_char,0x0EDA,0x0E71,0x0F63,0x0F2E,high
ascii_hex_nibble,0x0F13,0x0EA4,0x0F95,0x0F60,high
ascii_hex_byte,0x0F2F,0x0EC0,0x0FB1,0x0F7C,high
command_C_check,0x1073,0x1008,0x1112,0x10E8,high
command_W_check,0x107F,0x1014,0x111E,0x10F4,high
command_R_check,0x115F,0x113F,0x1234,0x120E,high
CR_dispatch,0x12FB,0x12A7,0x1391,0x136E,high
response_formatter,0x12B7,0x1265,0x1352,0x132F,high
application_startup,0x1800,0x1800,0x1800,0x1825,high
uart_initialization,0x1809,0x1804,0x1804,0x1829,high
