register,2.06_handler,2.06_constant,2.70_handler,2.70_constant,2.71_handler,2.71_constant
CR00,0x1153,0x00,0x1248,0x00,0x1222,0x00
CR01,0x1156,,0x124B,,0x1225,
CR02,0x115A,,0x124F,,0x1229,
CR03,0x118C,,0x127D,,0x125B,
CR04,0x11A5,,0x1296,,0x1274,
CR05,0x11A9,,0x129A,,0x1278,
CR06,0x11AD,,0x129E,,0x127C,
CR07,0x11C1,,0x12B2,,0x1290,
CR08,0x11CF,0x05,0x12C0,0x07,0x129E,0x07
CR09,0x11D3,,0x12C4,,0x12A2,
CR0A,0x11D7,,0x12C8,,0x12A6,
CR0B,0x11DB,0x02,0x12CC,0x02,0x12AA,0x02
CR0C,0x11DF,0x06,0x12D0,0x70,0x12AE,0x71
CR0D,0x11E3,0x00,0x12D4,0x00,0x12B2,0x00
CR0E,0x11E6,0x21,0x12D7,0x02,0x12B5,0x00
