version,image,scan_family,routine_pc,selector_value,bank_enable,address_lines,sample_pin,destination,protocol_mapping,physical_interpretation,evidence,confidence
2.02,Bixby_0202_260827_PICkit.hex,front_panel,0x0166,0x04,"RD2=1, RD7=0",RD6:RD5=00,RD3 active-low,"RAM 0x51 bit 0, debounced to RAM 0x52",CR01 bit 0 / value 0x01,OFF,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.02,Bixby_0202_260827_PICkit.hex,front_panel,0x0166,0x24,"RD2=1, RD7=0",RD6:RD5=01,RD3 active-low,"RAM 0x51 bit 1, debounced to RAM 0x52",CR01 bit 1 / value 0x02,ON,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.02,Bixby_0202_260827_PICkit.hex,front_panel,0x0166,0x44,"RD2=1, RD7=0",RD6:RD5=10,RD3 active-low,"RAM 0x51 bit 2, debounced to RAM 0x52",CR01 bit 2 / value 0x04,UP,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.02,Bixby_0202_260827_PICkit.hex,front_panel,0x0166,0x64,"RD2=1, RD7=0",RD6:RD5=11,RD3 active-low,"RAM 0x51 bit 3, debounced to RAM 0x52",CR01 bit 3 / value 0x08,DOWN,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.02,Bixby_0202_260827_PICkit.hex,external_sensors,0x0F72,0x80,"RD7=1, RD2=0",RD6:RD5=00,RD3 active-high,RAM 0x50 bit 0,CR02 bit 0,burn-drive motor limit switch,BixCheck plate-motor-off predicate plus motherboard diagram,high static; physical polarity not live-validated
2.02,Bixby_0202_260827_PICkit.hex,external_sensors,0x0F72,0xA0,"RD7=1, RD2=0",RD6:RD5=01,RD3 active-high,RAM 0x50 bit 1,CR02 bit 1,unassigned external sensor slot,firmware scan only,unknown
2.02,Bixby_0202_260827_PICkit.hex,external_sensors,0x0F72,0xC0,"RD7=1, RD2=0",RD6:RD5=10,RD3 active-high,RAM 0x50 bit 2,"CR02 bit 2; 1=Fuel A/corn, 0=Fuel B/wood",fuel-select switch,"firmware 0x30 EEPROM-bank offset, dormant BixCheck predicates, and motherboard diagram",high static; polarity live-validated on serial 5215 running 2.02
2.06,Bixby_02060021_Downloader.hex,front_panel,0x0134,0x04,"RD2=1, RD7=0",RD6:RD5=00,RD3 active-low,"bank-1 RAM 0x52 bit 0, debounced to 0x53",CR01 bit 0 / value 0x01,OFF,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.06,Bixby_02060021_Downloader.hex,front_panel,0x0134,0x24,"RD2=1, RD7=0",RD6:RD5=01,RD3 active-low,"bank-1 RAM 0x52 bit 1, debounced to 0x53",CR01 bit 1 / value 0x02,ON,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.06,Bixby_02060021_Downloader.hex,front_panel,0x0134,0x44,"RD2=1, RD7=0",RD6:RD5=10,RD3 active-low,"bank-1 RAM 0x52 bit 2, debounced to 0x53",CR01 bit 2 / value 0x04,UP,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.06,Bixby_02060021_Downloader.hex,front_panel,0x0134,0x64,"RD2=1, RD7=0",RD6:RD5=11,RD3 active-low,"bank-1 RAM 0x52 bit 3, debounced to 0x53",CR01 bit 3 / value 0x08,DOWN,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.06,Bixby_02060021_Downloader.hex,external_sensors,0x0F03,0x80,"RD7=1, RD2=0",RD6:RD5=00,RD3 active-high,bank-1 RAM 0x51 bit 0,CR02 bit 0,burn-drive motor limit switch,BixCheck plate-motor-off predicate plus motherboard diagram,high static; physical polarity not live-validated
2.06,Bixby_02060021_Downloader.hex,external_sensors,0x0F03,0xA0,"RD7=1, RD2=0",RD6:RD5=01,RD3 active-high,bank-1 RAM 0x51 bit 1,CR02 bit 1,unassigned external sensor slot,firmware scan only,unknown
2.06,Bixby_02060021_Downloader.hex,external_sensors,0x0F03,0xC0,"RD7=1, RD2=0",RD6:RD5=10,RD3 active-high,bank-1 RAM 0x51 bit 2,"CR02 bit 2; 1=Fuel A/corn, 0=Fuel B/wood",fuel-select switch,"firmware 0x30 EEPROM-bank offset, dormant BixCheck predicates, and motherboard diagram",high static; polarity live-validated on serial 5215 running 2.02
2.70,Bixby_0270_070206.hex,front_panel,0x0118,0x04,"RD2=1, RD7=0",RD6:RD5=00,RD3 active-low,"bank-1 RAM 0x52 bit 0, debounced to 0x53",CR01 bit 0 / value 0x01,OFF,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.70,Bixby_0270_070206.hex,front_panel,0x0118,0x24,"RD2=1, RD7=0",RD6:RD5=01,RD3 active-low,"bank-1 RAM 0x52 bit 1, debounced to 0x53",CR01 bit 1 / value 0x02,ON,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.70,Bixby_0270_070206.hex,front_panel,0x0118,0x44,"RD2=1, RD7=0",RD6:RD5=10,RD3 active-low,"bank-1 RAM 0x52 bit 2, debounced to 0x53",CR01 bit 2 / value 0x04,UP,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.70,Bixby_0270_070206.hex,front_panel,0x0118,0x64,"RD2=1, RD7=0",RD6:RD5=11,RD3 active-low,"bank-1 RAM 0x52 bit 3, debounced to 0x53",CR01 bit 3 / value 0x08,DOWN,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.70,Bixby_0270_070206.hex,external_sensors,0x1004,0x80,"RD7=1, RD2=0",RD6:RD5=00,RD3 active-high,bank-1 RAM 0x51 bit 0,CR02 bit 0,burn-drive motor limit switch,BixCheck plate-motor-off predicate plus motherboard diagram,high static; physical polarity not live-validated
2.70,Bixby_0270_070206.hex,external_sensors,0x1004,0xA0,"RD7=1, RD2=0",RD6:RD5=01,RD3 active-high,bank-1 RAM 0x51 bit 1,CR02 bit 1,unassigned external sensor slot,firmware scan only,unknown
2.70,Bixby_0270_070206.hex,external_sensors,0x1004,0xC0,"RD7=1, RD2=0",RD6:RD5=10,RD3 active-high,bank-1 RAM 0x51 bit 2,"CR02 bit 2; 1=Fuel A/corn, 0=Fuel B/wood",fuel-select switch,"firmware 0x30 EEPROM-bank offset, dormant BixCheck predicates, and motherboard diagram",high static; polarity live-validated on serial 5215 running 2.02
2.71,Bixby_0271_080315.hex,front_panel,0x0118,0x04,"RD2=1, RD7=0",RD6:RD5=00,RD3 active-low,"bank-1 RAM 0x52 bit 0, debounced to 0x53",CR01 bit 0 / value 0x01,OFF,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.71,Bixby_0271_080315.hex,front_panel,0x0118,0x24,"RD2=1, RD7=0",RD6:RD5=01,RD3 active-low,"bank-1 RAM 0x52 bit 1, debounced to 0x53",CR01 bit 1 / value 0x02,ON,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.71,Bixby_0271_080315.hex,front_panel,0x0118,0x44,"RD2=1, RD7=0",RD6:RD5=10,RD3 active-low,"bank-1 RAM 0x52 bit 2, debounced to 0x53",CR01 bit 2 / value 0x04,UP,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.71,Bixby_0271_080315.hex,front_panel,0x0118,0x64,"RD2=1, RD7=0",RD6:RD5=11,RD3 active-low,"bank-1 RAM 0x52 bit 3, debounced to 0x53",CR01 bit 3 / value 0x08,DOWN,firmware scan plus BixCheck button codes and board diagram,high static; connector pin not live-validated
2.71,Bixby_0271_080315.hex,external_sensors,0x0FBF,0x80,"RD7=1, RD2=0",RD6:RD5=00,RD3 active-high,bank-1 RAM 0x51 bit 0,CR02 bit 0,burn-drive motor limit switch,BixCheck plate-motor-off predicate plus motherboard diagram,high static; physical polarity not live-validated
2.71,Bixby_0271_080315.hex,external_sensors,0x0FBF,0xA0,"RD7=1, RD2=0",RD6:RD5=01,RD3 active-high,bank-1 RAM 0x51 bit 1,CR02 bit 1,unassigned external sensor slot,firmware scan only,unknown
2.71,Bixby_0271_080315.hex,external_sensors,0x0FBF,0xC0,"RD7=1, RD2=0",RD6:RD5=10,RD3 active-high,bank-1 RAM 0x51 bit 2,"CR02 bit 2; 1=Fuel A/corn, 0=Fuel B/wood",fuel-select switch,"firmware 0x30 EEPROM-bank offset, dormant BixCheck predicates, and motherboard diagram",high static; polarity live-validated on serial 5215 running 2.02
