version,data_format,request,response,response_hex,address,expected,actual,match,eeprom_read_events,event_details,steps,error
2.06,0x05,AR00,AR0064\x0A,41 52 30 30 36 34 0A,0x00,0x64,0x64,yes,1,EEPROM[0x00],777,
2.06,0x05,AR01,AR013d\x0A,41 52 30 31 33 64 0A,0x01,0x3D,0x3D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x01],1128,
2.06,0x05,AR02,AR0205\x0A,41 52 30 32 30 35 0A,0x02,0x05,0x05,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x02],1192,
2.06,0x05,AR03,AR0345\x0A,41 52 30 33 34 35 0A,0x03,0x45,0x45,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x03],1127,
2.06,0x05,AR04,AR044d\x0A,41 52 30 34 34 64 0A,0x04,0x4D,0x4D,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x04],1192,
2.06,0x05,AR05,AR0555\x0A,41 52 30 35 35 35 0A,0x05,0x55,0x55,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x05],1127,
2.06,0x05,AR06,AR0630\x0A,41 52 30 36 33 30 0A,0x06,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x06],1192,
2.06,0x05,AR07,AR0730\x0A,41 52 30 37 33 30 0A,0x07,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x07],1131,
2.06,0x05,AR08,AR0830\x0A,41 52 30 38 33 30 0A,0x08,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x08],1192,
2.06,0x05,AR09,AR0930\x0A,41 52 30 39 33 30 0A,0x09,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x09],1127,
2.06,0x05,AR0A,AR0a31\x0A,41 52 30 61 33 31 0A,0x0A,0x31,0x31,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x0A],1196,
2.06,0x05,AR0B,AR0b30\x0A,41 52 30 62 33 30 0A,0x0B,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x0B],1197,
2.06,0x05,AR0C,AR0c31\x0A,41 52 30 63 33 31 0A,0x0C,0x31,0x31,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x0C],1131,
2.06,0x05,AR0D,AR0d30\x0A,41 52 30 64 33 30 0A,0x0D,0x30,0x30,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x0D],1196,
2.06,0x05,AR0E,AR0e31\x0A,41 52 30 65 33 31 0A,0x0E,0x31,0x31,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x0E],1136,
2.06,0x05,AR0F,AR0f32\x0A,41 52 30 66 33 32 0A,0x0F,0x32,0x32,yes,3,EEPROM[0x98] | EEPROM[0x99] | EEPROM[0x0F],1196,
