version,channel,input_10bit,register,baseline,stimulated,changed_bits
2.02,AN0,0x100,CR09,0x00,,
2.02,AN0,0x100,CR0A,0x00,,
2.02,AN0,0x200,CR09,0x00,,
2.02,AN0,0x200,CR0A,0x00,,
2.02,AN0,0x300,CR09,0x00,,
2.02,AN0,0x300,CR0A,0x00,,
2.02,AN0,0x3FF,CR09,0x00,,
2.02,AN0,0x3FF,CR0A,0x00,,
2.02,AN1,0x100,CR09,0x00,,
2.02,AN1,0x100,CR0A,0x00,,
2.02,AN1,0x200,CR09,0x00,,
2.02,AN1,0x200,CR0A,0x00,,
2.02,AN1,0x300,CR09,0x00,,
2.02,AN1,0x300,CR0A,0x00,,
2.02,AN1,0x3FF,CR09,0x00,,
2.02,AN1,0x3FF,CR0A,0x00,,
2.02,AN2,0x100,CR09,0x00,,
2.02,AN2,0x100,CR0A,0x00,,
2.02,AN2,0x200,CR09,0x00,,
2.02,AN2,0x200,CR0A,0x00,,
2.02,AN2,0x300,CR09,0x00,,
2.02,AN2,0x300,CR0A,0x00,,
2.02,AN2,0x3FF,CR09,0x00,,
2.02,AN2,0x3FF,CR0A,0x00,,
2.02,AN3,0x100,CR09,0x00,,
2.02,AN3,0x100,CR0A,0x00,,
2.02,AN3,0x200,CR09,0x00,,
2.02,AN3,0x200,CR0A,0x00,,
2.02,AN3,0x300,CR09,0x00,,
2.02,AN3,0x300,CR0A,0x00,,
2.02,AN3,0x3FF,CR09,0x00,,
2.02,AN3,0x3FF,CR0A,0x00,,
2.02,AN4,0x100,CR09,0x00,,
2.02,AN4,0x100,CR0A,0x00,,
2.02,AN4,0x200,CR09,0x00,,
2.02,AN4,0x200,CR0A,0x00,,
2.02,AN4,0x300,CR09,0x00,,
2.02,AN4,0x300,CR0A,0x00,,
2.02,AN4,0x3FF,CR09,0x00,,
2.02,AN4,0x3FF,CR0A,0x00,,
2.02,AN5,0x100,CR09,0x00,,
2.02,AN5,0x100,CR0A,0x00,,
2.02,AN5,0x200,CR09,0x00,,
2.02,AN5,0x200,CR0A,0x00,,
2.02,AN5,0x300,CR09,0x00,,
2.02,AN5,0x300,CR0A,0x00,,
2.02,AN5,0x3FF,CR09,0x00,,
2.02,AN5,0x3FF,CR0A,0x00,,
2.02,AN6,0x100,CR09,0x00,,
2.02,AN6,0x100,CR0A,0x00,,
2.02,AN6,0x200,CR09,0x00,,
2.02,AN6,0x200,CR0A,0x00,,
2.02,AN6,0x300,CR09,0x00,,
2.02,AN6,0x300,CR0A,0x00,,
2.02,AN6,0x3FF,CR09,0x00,,
2.02,AN6,0x3FF,CR0A,0x00,,
2.02,AN7,0x100,CR09,0x00,,
2.02,AN7,0x100,CR0A,0x00,,
2.02,AN7,0x200,CR09,0x00,,
2.02,AN7,0x200,CR0A,0x00,,
2.02,AN7,0x300,CR09,0x00,,
2.02,AN7,0x300,CR0A,0x00,,
2.02,AN7,0x3FF,CR09,0x00,,
2.02,AN7,0x3FF,CR0A,0x00,,
2.06,AN3,0x100,CR09,0x00,0x40,6
2.06,AN3,0x200,CR09,0x00,0x80,7
2.06,AN3,0x300,CR09,0x00,0xC0,"6,7"
2.06,AN3,0x3FF,CR09,0x00,0xFF,"0,1,2,3,4,5,6,7"
2.06,AN4,0x100,CR0A,0x00,0x40,6
2.06,AN4,0x200,CR0A,0x00,0x80,7
2.06,AN4,0x300,CR0A,0x00,0xC0,"6,7"
2.06,AN4,0x3FF,CR0A,0x00,0xFF,"0,1,2,3,4,5,6,7"
2.70,AN3,0x100,CR09,0x00,0x40,6
2.70,AN3,0x200,CR09,0x00,0x80,7
2.70,AN3,0x300,CR09,0x00,0xC0,"6,7"
2.70,AN3,0x3FF,CR09,0x00,0xFF,"0,1,2,3,4,5,6,7"
2.70,AN4,0x100,CR0A,0x00,0x40,6
2.70,AN4,0x200,CR0A,0x00,0x80,7
2.70,AN4,0x300,CR0A,0x00,0xC0,"6,7"
2.70,AN4,0x3FF,CR0A,0x00,0xFF,"0,1,2,3,4,5,6,7"
2.71,AN3,0x100,CR09,0x00,0x40,6
2.71,AN3,0x200,CR09,0x00,0x80,7
2.71,AN3,0x300,CR09,0x00,0xC0,"6,7"
2.71,AN3,0x3FF,CR09,0x00,0xFF,"0,1,2,3,4,5,6,7"
2.71,AN4,0x100,CR0A,0x00,0x40,6
2.71,AN4,0x200,CR0A,0x00,0x80,7
2.71,AN4,0x300,CR0A,0x00,0xC0,"6,7"
2.71,AN4,0x3FF,CR0A,0x00,0xFF,"0,1,2,3,4,5,6,7"
