data_format,address,value,ascii,checksum_covered,role
0x05,0x00,0x64,d,no,stored checksum
0x05,0x01,0x3D,=,no,stored checksum
0x05,0x02,0x05,,yes,data format
0x05,0x03,0x45,E,yes,synthetic serial
0x05,0x04,0x4D,M,yes,synthetic serial
0x05,0x05,0x55,U,yes,synthetic serial
0x05,0x06,0x30,0,yes,synthetic serial
0x05,0x07,0x30,0,yes,synthetic serial
0x05,0x08,0x30,0,yes,synthetic serial
0x05,0x09,0x30,0,yes,synthetic serial
0x05,0x0A,0x31,1,yes,synthetic serial
0x05,0x0B,0x30,0,yes,synthetic production date
0x05,0x0C,0x31,1,yes,synthetic production date
0x05,0x0D,0x30,0,yes,synthetic production date
0x05,0x0E,0x31,1,yes,synthetic production date
0x05,0x0F,0x32,2,yes,synthetic production date
0x05,0x10,0x30,0,yes,synthetic production date
0x05,0x11,0x30,0,yes,synthetic production date
0x05,0x12,0x30,0,yes,synthetic production date
0x05,0x13,0x4F,O,yes,synthetic model
0x05,0x14,0x50,P,yes,synthetic model
0x05,0x15,0x45,E,yes,synthetic model
0x05,0x16,0x4E,N,yes,synthetic model
0x05,0x17,0x4D,M,yes,synthetic model
0x05,0x18,0x41,A,yes,synthetic model
0x05,0x19,0x58,X,yes,synthetic model
0x05,0x1A,0x46,F,yes,synthetic model
0x05,0x1B,0x49,I,yes,synthetic model
0x05,0x1C,0x52,R,yes,synthetic model
0x05,0x1D,0x45,E,yes,synthetic model
0x05,0x1E,0x2D,-,yes,synthetic model
0x05,0x1F,0x4C,L,yes,synthetic model
0x05,0x20,0x41,A,yes,synthetic model
0x05,0x21,0x42,B,yes,synthetic model
0x05,0x22,0x20, ,yes,synthetic model
0x05,0x23,0x69,i,yes,deterministic lab pattern
0x05,0x24,0x8E,,yes,deterministic lab pattern
0x05,0x25,0xB3,,yes,deterministic lab pattern
0x05,0x26,0xD8,,yes,deterministic lab pattern
0x05,0x27,0xFD,,yes,deterministic lab pattern
0x05,0x28,0x22,"""",yes,deterministic lab pattern
0x05,0x29,0x47,G,yes,deterministic lab pattern
0x05,0x2A,0x6C,l,yes,deterministic lab pattern
0x05,0x2B,0x91,,yes,deterministic lab pattern
0x05,0x2C,0xB6,,yes,deterministic lab pattern
0x05,0x2D,0xDB,,yes,deterministic lab pattern
0x05,0x2E,0x00,,yes,deterministic lab pattern
0x05,0x2F,0x25,%,yes,deterministic lab pattern
0x05,0x30,0x4A,J,yes,deterministic lab pattern
0x05,0x31,0x6F,o,yes,deterministic lab pattern
0x05,0x32,0x94,,yes,deterministic lab pattern
0x05,0x33,0xB9,,yes,deterministic lab pattern
0x05,0x34,0xDE,,yes,deterministic lab pattern
0x05,0x35,0x03,,yes,deterministic lab pattern
0x05,0x36,0x28,(,yes,deterministic lab pattern
0x05,0x37,0x4D,M,yes,deterministic lab pattern
0x05,0x38,0x72,r,yes,deterministic lab pattern
0x05,0x39,0x97,,yes,deterministic lab pattern
0x05,0x3A,0xBC,,yes,deterministic lab pattern
0x05,0x3B,0xE1,,yes,deterministic lab pattern
0x05,0x3C,0x06,,yes,deterministic lab pattern
0x05,0x3D,0x2B,+,yes,deterministic lab pattern
0x05,0x3E,0x50,P,yes,deterministic lab pattern
0x05,0x3F,0x75,u,yes,deterministic lab pattern
0x05,0x40,0x9A,,yes,deterministic lab pattern
0x05,0x41,0xBF,,yes,deterministic lab pattern
0x05,0x42,0xE4,,yes,deterministic lab pattern
0x05,0x43,0x09,,yes,deterministic lab pattern
0x05,0x44,0x2E,.,yes,deterministic lab pattern
0x05,0x45,0x53,S,yes,deterministic lab pattern
0x05,0x46,0x78,x,yes,deterministic lab pattern
0x05,0x47,0x9D,,yes,deterministic lab pattern
0x05,0x48,0xC2,,yes,deterministic lab pattern
0x05,0x49,0xE7,,yes,deterministic lab pattern
0x05,0x4A,0x0C,,yes,deterministic lab pattern
0x05,0x4B,0x31,1,yes,deterministic lab pattern
0x05,0x4C,0x56,V,yes,deterministic lab pattern
0x05,0x4D,0x7B,{,yes,deterministic lab pattern
0x05,0x4E,0xA0,,yes,deterministic lab pattern
0x05,0x4F,0xC5,,yes,deterministic lab pattern
0x05,0x50,0xEA,,yes,deterministic lab pattern
0x05,0x51,0x0F,,yes,deterministic lab pattern
0x05,0x52,0x34,4,yes,deterministic lab pattern
0x05,0x53,0x59,Y,yes,deterministic lab pattern
0x05,0x54,0x7E,~,yes,deterministic lab pattern
0x05,0x55,0xA3,,yes,deterministic lab pattern
0x05,0x56,0xC8,,yes,deterministic lab pattern
0x05,0x57,0xED,,yes,deterministic lab pattern
0x05,0x58,0x12,,yes,deterministic lab pattern
0x05,0x59,0x37,7,yes,deterministic lab pattern
0x05,0x5A,0x5C,\,yes,deterministic lab pattern
0x05,0x5B,0x81,,yes,deterministic lab pattern
0x05,0x5C,0xA6,,yes,deterministic lab pattern
0x05,0x5D,0xCB,,yes,deterministic lab pattern
0x05,0x5E,0xF0,,yes,deterministic lab pattern
0x05,0x5F,0x15,,yes,deterministic lab pattern
0x05,0x60,0x3A,:,yes,deterministic lab pattern
0x05,0x61,0x5F,_,yes,deterministic lab pattern
0x05,0x62,0x84,,yes,deterministic lab pattern
0x05,0x63,0xA9,,yes,deterministic lab pattern
0x05,0x64,0xCE,,yes,deterministic lab pattern
0x05,0x65,0xF3,,yes,deterministic lab pattern
0x05,0x66,0x18,,yes,deterministic lab pattern
0x05,0x67,0x3D,=,yes,deterministic lab pattern
0x05,0x68,0x62,b,yes,deterministic lab pattern
0x05,0x69,0x87,,yes,deterministic lab pattern
0x05,0x6A,0xAC,,yes,deterministic lab pattern
0x05,0x6B,0xD1,,yes,deterministic lab pattern
0x05,0x6C,0xF6,,yes,deterministic lab pattern
0x05,0x6D,0x1B,,yes,deterministic lab pattern
0x05,0x6E,0x40,@,yes,deterministic lab pattern
0x05,0x6F,0x65,e,yes,deterministic lab pattern
0x05,0x70,0x8A,,yes,deterministic lab pattern
0x05,0x71,0xAF,,yes,deterministic lab pattern
0x05,0x72,0xD4,,yes,deterministic lab pattern
0x05,0x73,0xF9,,yes,deterministic lab pattern
0x05,0x74,0x1E,,yes,deterministic lab pattern
0x05,0x75,0x43,C,yes,deterministic lab pattern
0x05,0x76,0x68,h,yes,deterministic lab pattern
0x05,0x77,0x8D,,yes,deterministic lab pattern
0x05,0x78,0xB2,,yes,deterministic lab pattern
0x05,0x79,0xD7,,yes,deterministic lab pattern
0x05,0x7A,0xFC,,yes,deterministic lab pattern
0x05,0x7B,0x21,!,yes,deterministic lab pattern
0x05,0x7C,0x46,F,yes,deterministic lab pattern
0x05,0x7D,0x6B,k,yes,deterministic lab pattern
0x05,0x7E,0x90,,yes,deterministic lab pattern
0x05,0x7F,0xB5,,yes,deterministic lab pattern
0x05,0x80,0xDA,,yes,deterministic lab pattern
0x05,0x81,0xFF,,yes,deterministic lab pattern
0x05,0x82,0x24,$,yes,deterministic lab pattern
0x05,0x83,0x49,I,yes,deterministic lab pattern
0x05,0x84,0x6E,n,yes,deterministic lab pattern
0x05,0x85,0x93,,yes,deterministic lab pattern
0x05,0x86,0xB8,,yes,deterministic lab pattern
0x05,0x87,0xDD,,yes,deterministic lab pattern
0x05,0x88,0x02,,yes,deterministic lab pattern
0x05,0x89,0x27,',yes,deterministic lab pattern
0x05,0x8A,0x4C,L,yes,deterministic lab pattern
0x05,0x8B,0x71,q,yes,deterministic lab pattern
0x05,0x8C,0x96,,yes,deterministic lab pattern
0x05,0x8D,0xBB,,yes,deterministic lab pattern
0x05,0x8E,0xE0,,yes,deterministic lab pattern
0x05,0x8F,0x05,,yes,deterministic lab pattern
0x05,0x90,0x2A,*,yes,deterministic lab pattern
0x05,0x91,0x4F,O,yes,deterministic lab pattern
0x05,0x92,0x74,t,yes,deterministic lab pattern
0x05,0x93,0x99,,yes,deterministic lab pattern
0x05,0x94,0xBE,,yes,deterministic lab pattern
0x05,0x95,0xE3,,yes,deterministic lab pattern
0x05,0x96,0x08,,yes,deterministic lab pattern
0x05,0x97,0x2D,-,yes,deterministic lab pattern
0x05,0x98,0x52,R,yes,deterministic lab pattern
0x05,0x99,0x77,w,yes,deterministic lab pattern
0x05,0x9A,0x9C,,yes,deterministic lab pattern
0x05,0x9B,0xC1,,no,deterministic lab pattern
0x05,0x9C,0xE6,,no,deterministic lab pattern
0x05,0x9D,0x0B,,no,deterministic lab pattern
0x05,0x9E,0x30,0,no,deterministic lab pattern
0x05,0x9F,0x55,U,no,deterministic lab pattern
0x05,0xA0,0x7A,z,no,deterministic lab pattern
0x05,0xA1,0x9F,,no,deterministic lab pattern
0x05,0xA2,0xC4,,no,deterministic lab pattern
0x05,0xA3,0xE9,,no,deterministic lab pattern
0x05,0xA4,0x0E,,no,deterministic lab pattern
0x05,0xA5,0x33,3,no,deterministic lab pattern
0x05,0xA6,0x58,X,no,deterministic lab pattern
0x05,0xA7,0x7D,},no,deterministic lab pattern
0x05,0xA8,0xA2,,no,deterministic lab pattern
0x05,0xA9,0xC7,,no,deterministic lab pattern
0x05,0xAA,0xEC,,no,deterministic lab pattern
0x05,0xAB,0x11,,no,deterministic lab pattern
0x05,0xAC,0x36,6,no,deterministic lab pattern
0x05,0xAD,0x5B,[,no,deterministic lab pattern
0x05,0xAE,0x80,,no,deterministic lab pattern
0x05,0xAF,0xA5,,no,deterministic lab pattern
0x05,0xB0,0xCA,,no,deterministic lab pattern
0x05,0xB1,0xEF,,no,deterministic lab pattern
0x05,0xB2,0x14,,no,deterministic lab pattern
0x05,0xB3,0x39,9,no,deterministic lab pattern
0x05,0xB4,0x5E,^,no,deterministic lab pattern
0x05,0xB5,0x83,,no,deterministic lab pattern
0x05,0xB6,0xA8,,no,deterministic lab pattern
0x05,0xB7,0xCD,,no,deterministic lab pattern
0x05,0xB8,0xF2,,no,deterministic lab pattern
0x05,0xB9,0x17,,no,deterministic lab pattern
0x05,0xBA,0x3C,<,no,deterministic lab pattern
0x05,0xBB,0x61,a,no,deterministic lab pattern
0x05,0xBC,0x86,,no,deterministic lab pattern
0x05,0xBD,0xAB,,no,deterministic lab pattern
0x05,0xBE,0xD0,,no,deterministic lab pattern
0x05,0xBF,0xF5,,no,deterministic lab pattern
0x05,0xC0,0x1A,,no,deterministic lab pattern
0x05,0xC1,0x3F,?,no,deterministic lab pattern
0x05,0xC2,0x64,d,no,deterministic lab pattern
0x05,0xC3,0x89,,no,deterministic lab pattern
0x05,0xC4,0xAE,,no,deterministic lab pattern
0x05,0xC5,0xD3,,no,deterministic lab pattern
0x05,0xC6,0xF8,,no,deterministic lab pattern
0x05,0xC7,0x1D,,no,deterministic lab pattern
0x05,0xC8,0x42,B,no,deterministic lab pattern
0x05,0xC9,0x67,g,no,deterministic lab pattern
0x05,0xCA,0x8C,,no,deterministic lab pattern
0x05,0xCB,0xB1,,no,deterministic lab pattern
0x05,0xCC,0xD6,,no,deterministic lab pattern
0x05,0xCD,0xFB,,no,deterministic lab pattern
0x05,0xCE,0x20, ,no,deterministic lab pattern
0x05,0xCF,0x45,E,no,deterministic lab pattern
0x05,0xD0,0x6A,j,no,deterministic lab pattern
0x05,0xD1,0x8F,,no,deterministic lab pattern
0x05,0xD2,0xB4,,no,deterministic lab pattern
0x05,0xD3,0xD9,,no,deterministic lab pattern
0x05,0xD4,0xFE,,no,deterministic lab pattern
