version,request,address,name,read_count,values,pcs,via
2.02,CR00,0x003,STATUS,1,0x1C,0x1174,direct
2.02,CR01,0x003,STATUS,1,0x1C,0x1177,direct
2.02,CR01,0x052,RAM_0x052,1,0x00,0x1176,direct
2.02,CR02,0x003,STATUS,3,0x18 0x1C 0x3C,0x117F 0x1181 0x11AA,direct
2.02,CR02,0x008,PORTD,10,0x04 0x84 0xA4 0xC4,0x0F73 0x0F75 0x0F77 0x0F7A 0x0F7C 0x0F7F 0x0F81 0x1196 0x119B 0x11A0,direct
2.02,CR02,0x009,PORTE,1,0x04,0x11A5,direct
2.02,CR02,0x00A,PCLATH,4,0x03 0x0B 0x13 0x1B,0x117A 0x117B 0x117D 0x117E,direct
2.02,CR02,0x00B,INTCON,4,0x14 0x94 0xD4,0x0F6E 0x0F6F 0x0F70 0x0F84,direct
2.02,CR02,0x050,RAM_0x050,7,0x00,0x0F76 0x0F7B 0x0F80 0x1182 0x1187 0x118C 0x1191,direct
2.02,CR03,0x003,STATUS,3,0x18 0x1C 0x3C,0x11AC 0x11AE 0x11C3,direct
2.02,CR03,0x006,PORTB,2,0x00,0x11AF 0x11B4,direct
2.02,CR03,0x055,RAM_0x055,2,0x00,0x11B9 0x11BE,direct
2.02,CR04,0x003,STATUS,1,0x18,0x11C5,direct
2.02,CR04,0x0A1,RAM_0x0A1,1,0x41,0x11C6,direct
2.02,CR05,0x003,STATUS,1,0x1C,0x11CA,direct
2.02,CR05,0x034,RAM_0x034,1,0x00,0x11C9,direct
2.02,CR06,0x003,STATUS,7,0x18 0x1C 0x3C,0x11CD 0x11CF 0x11D2 0x11D4 0x11D7 0x11D9 0x11DF,direct
2.02,CR06,0x006,PORTB,1,0x00,0x11DA,direct
2.02,CR06,0x02D,RAM_0x02D,2,0x03,0x11D0 0x11D5,direct
2.02,CR06,0x0CD,RAM_0x0CD,2,0x00 0x01,0x11D3 0x11D8,direct
2.02,CR07,0x003,STATUS,1,0x18,0x11EC,direct
2.02,CR07,0x044,RAM_0x044,1,0xD0,0x11E3,direct
2.02,CR07,0x045,RAM_0x045,1,0x02,0x11E1,direct
2.02,CR07,0x079,RAM_0x079,4,0x2D 0x5A 0x68 0xB4,0x11E6 0x11E8 0x11EA 0x11EB,direct
2.02,CR07,0x07A,RAM_0x07A,3,0x00 0x01,0x11E5 0x11E7 0x11E9,direct
2.02,CR08,0x003,STATUS,1,0x18,0x11F0,direct
2.02,CR09,0x003,STATUS,1,0x1C,0x11F4,direct
2.02,CR09,0x02E,RAM_0x02E,1,0x00,0x11F3,direct
2.02,CR0A,0x003,STATUS,1,0x1C,0x11F8,direct
2.02,CR0A,0x02F,RAM_0x02F,1,0x00,0x11F7,direct
2.02,CR0B,0x003,STATUS,1,0x18,0x11FC,direct
2.02,CR0C,0x003,STATUS,1,0x18,0x1200,direct
2.06,CR00,0x003,STATUS,1,0x1C,0x1154,direct
2.06,CR01,0x003,STATUS,1,0x1C,0x1157,direct
2.06,CR01,0x053,RAM_0x053,1,0x00,0x1156,direct
2.06,CR02,0x003,STATUS,3,0x18 0x1C 0x3C,0x115F 0x1161 0x118A,direct
2.06,CR02,0x008,PORTD,10,0x04 0x84 0xA4 0xC4,0x0F04 0x0F06 0x0F08 0x0F0B 0x0F0D 0x0F10 0x0F12 0x1176 0x117B 0x1180,direct
2.06,CR02,0x009,PORTE,1,0x04,0x1185,direct
2.06,CR02,0x00A,PCLATH,4,0x02 0x0A 0x12 0x1A,0x115A 0x115B 0x115D 0x115E,direct
2.06,CR02,0x00B,INTCON,4,0x14 0x94 0xD4,0x0EFF 0x0F00 0x0F01 0x0F15,direct
2.06,CR02,0x051,RAM_0x051,7,0x00,0x0F07 0x0F0C 0x0F11 0x1162 0x1167 0x116C 0x1171,direct
2.06,CR03,0x003,STATUS,5,0x18 0x1C 0x3C,0x118C 0x118E 0x11A0 0x11A2 0x11A3,direct
2.06,CR03,0x006,PORTB,2,0x00,0x118F 0x1194,direct
2.06,CR03,0x056,RAM_0x056,2,0x80,0x1199 0x119E,direct
2.06,CR03,0x0CD,RAM_0x0CD,1,0x00,0x11A1,direct
2.06,CR04,0x003,STATUS,1,0x18,0x11A5,direct
2.06,CR04,0x0A2,RAM_0x0A2,1,0x41,0x11A6,direct
2.06,CR05,0x003,STATUS,1,0x1E,0x11AA,direct
2.06,CR05,0x034,RAM_0x034,1,0x00,0x11A9,direct
2.06,CR06,0x003,STATUS,7,0x1A 0x1E 0x3E,0x11AD 0x11AF 0x11B2 0x11B4 0x11B7 0x11B9 0x11BF,direct
2.06,CR06,0x006,PORTB,1,0x00,0x11BA,direct
2.06,CR06,0x02D,RAM_0x02D,2,0x07,0x11B0 0x11B5,direct
2.06,CR06,0x0CD,RAM_0x0CD,2,0x00 0x01,0x11B3 0x11B8,direct
2.06,CR07,0x003,STATUS,1,0x1A,0x11CC,direct
2.06,CR07,0x044,RAM_0x044,1,0x14,0x11C3,direct
2.06,CR07,0x045,RAM_0x045,1,0x05,0x11C1,direct
2.06,CR07,0x079,RAM_0x079,4,0x45 0x51 0x8A 0xA2,0x11C6 0x11C8 0x11CA 0x11CB,direct
2.06,CR07,0x07A,RAM_0x07A,3,0x00 0x01 0x02,0x11C5 0x11C7 0x11C9,direct
2.06,CR08,0x003,STATUS,1,0x1A,0x11D0,direct
2.06,CR09,0x003,STATUS,1,0x1E,0x11D4,direct
2.06,CR09,0x02E,RAM_0x02E,1,0x00,0x11D3,direct
2.06,CR0A,0x003,STATUS,1,0x1E,0x11D8,direct
2.06,CR0A,0x02F,RAM_0x02F,1,0x00,0x11D7,direct
2.06,CR0B,0x003,STATUS,1,0x1A,0x11DC,direct
2.06,CR0C,0x003,STATUS,1,0x1A,0x11E0,direct
2.06,CR0D,0x003,STATUS,1,0x1A,0x11E3,direct
2.06,CR0E,0x003,STATUS,1,0x1A,0x11E7,direct
2.70,CR00,0x003,STATUS,1,0x1C,0x1249,direct
2.70,CR01,0x003,STATUS,1,0x1C,0x124C,direct
2.70,CR01,0x053,RAM_0x053,1,0x00,0x124B,direct
2.70,CR02,0x003,STATUS,3,0x18 0x1C 0x3C,0x1250 0x1252 0x127B,direct
2.70,CR02,0x008,PORTD,10,0x04 0x84 0xA4 0xC4,0x1005 0x1007 0x1009 0x100C 0x100E 0x1011 0x1013 0x1267 0x126C 0x1271,direct
2.70,CR02,0x009,PORTE,1,0x04,0x1276,direct
