version,request,address,name,before,after,changed_bits,volatile
2.02,CR00,0x001,TMR0,0x83,0x87,2,yes
2.02,CR00,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR00,0x00E,TMR1L,0xBB,0xBF,2,yes
2.02,CR00,0x011,TMR2,0xBE,0xC2,"2,3,4,5,6",yes
2.02,CR01,0x001,TMR0,0x83,0x88,"0,1,3",yes
2.02,CR01,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR01,0x00E,TMR1L,0xBB,0xC0,"0,1,3,4,5,6",yes
2.02,CR01,0x011,TMR2,0xBE,0xC3,"0,2,3,4,5,6",yes
2.02,CR02,0x001,TMR0,0x83,0xB2,"0,4,5",yes
2.02,CR02,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR02,0x008,PORTD,0x04,0xC4,"6,7",no
2.02,CR02,0x00E,TMR1L,0xBB,0xEA,"0,4,6",yes
2.02,CR02,0x011,TMR2,0xBE,0xED,"0,1,4,6",yes
2.02,CR03,0x001,TMR0,0x83,0x91,"1,4",yes
2.02,CR03,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR03,0x00E,TMR1L,0xBB,0xC9,"1,4,5,6",yes
2.02,CR03,0x011,TMR2,0xBE,0xCC,"1,4,5,6",yes
2.02,CR04,0x001,TMR0,0x83,0x88,"0,1,3",yes
2.02,CR04,0x003,STATUS,0x18,0x38,5,no
2.02,CR04,0x00E,TMR1L,0xBB,0xC0,"0,1,3,4,5,6",yes
2.02,CR04,0x011,TMR2,0xBE,0xC3,"0,2,3,4,5,6",yes
2.02,CR04,0x0CD,RAM_0x0CD,0x00,0x41,"0,6",no
2.02,CR05,0x001,TMR0,0x83,0x88,"0,1,3",yes
2.02,CR05,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR05,0x00E,TMR1L,0xBB,0xC0,"0,1,3,4,5,6",yes
2.02,CR05,0x011,TMR2,0xBE,0xC3,"0,2,3,4,5,6",yes
2.02,CR06,0x001,TMR0,0x83,0x93,4,yes
2.02,CR06,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR06,0x00E,TMR1L,0xBB,0xCB,"4,5,6",yes
2.02,CR06,0x011,TMR2,0xBE,0xCE,"4,5,6",yes
2.02,CR06,0x0CD,RAM_0x0CD,0x00,0x03,"0,1",no
2.02,CR07,0x001,TMR0,0x83,0x92,"0,4",yes
2.02,CR07,0x003,STATUS,0x18,0x38,5,no
2.02,CR07,0x00E,TMR1L,0xBB,0xCA,"0,4,5,6",yes
2.02,CR07,0x011,TMR2,0xBE,0xCD,"0,1,4,5,6",yes
2.02,CR07,0x079,RAM_0x079,0x11,0x2D,"2,3,4,5",no
2.02,CR07,0x0CD,RAM_0x0CD,0x00,0x2D,"0,2,3,5",no
2.02,CR08,0x001,TMR0,0x83,0x88,"0,1,3",yes
2.02,CR08,0x003,STATUS,0x18,0x38,5,no
2.02,CR08,0x00E,TMR1L,0xBB,0xC0,"0,1,3,4,5,6",yes
2.02,CR08,0x011,TMR2,0xBE,0xC3,"0,2,3,4,5,6",yes
2.02,CR08,0x0CD,RAM_0x0CD,0x00,0x04,2,no
2.02,CR09,0x001,TMR0,0x83,0x88,"0,1,3",yes
2.02,CR09,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR09,0x00E,TMR1L,0xBB,0xC0,"0,1,3,4,5,6",yes
2.02,CR09,0x011,TMR2,0xBE,0xC3,"0,2,3,4,5,6",yes
2.02,CR0A,0x001,TMR0,0x87,0x8C,"0,1,3",yes
2.02,CR0A,0x003,STATUS,0x18,0x3C,"2,5",no
2.02,CR0A,0x00E,TMR1L,0xBF,0xC4,"0,1,3,4,5,6",yes
2.02,CR0A,0x011,TMR2,0xC2,0xC7,"0,2",yes
2.02,CR0B,0x001,TMR0,0x87,0x8C,"0,1,3",yes
2.02,CR0B,0x003,STATUS,0x18,0x38,5,no
2.02,CR0B,0x00E,TMR1L,0xBF,0xC4,"0,1,3,4,5,6",yes
2.02,CR0B,0x011,TMR2,0xC2,0xC7,"0,2",yes
2.02,CR0B,0x0CD,RAM_0x0CD,0x00,0x02,1,no
2.02,CR0C,0x001,TMR0,0x87,0x8C,"0,1,3",yes
2.02,CR0C,0x003,STATUS,0x18,0x38,5,no
2.02,CR0C,0x00E,TMR1L,0xBF,0xC4,"0,1,3,4,5,6",yes
2.02,CR0C,0x011,TMR2,0xC2,0xC7,"0,2",yes
2.02,CR0C,0x0CD,RAM_0x0CD,0x00,0x02,1,no
2.06,CR00,0x001,TMR0,0xA7,0xAB,"2,3",yes
2.06,CR00,0x003,STATUS,0x18,0x3C,"2,5",no
2.06,CR00,0x00E,TMR1L,0xE8,0xEC,2,yes
2.06,CR00,0x011,TMR2,0xCD,0xD1,"2,3,4",yes
2.06,CR01,0x001,TMR0,0xA7,0xAC,"0,1,3",yes
2.06,CR01,0x003,STATUS,0x18,0x3C,"2,5",no
2.06,CR01,0x00E,TMR1L,0xE8,0xED,"0,2",yes
2.06,CR01,0x011,TMR2,0xCD,0xD2,"0,1,2,3,4",yes
2.06,CR02,0x001,TMR0,0xA7,0xD6,"0,4,5,6",yes
2.06,CR02,0x003,STATUS,0x18,0x3C,"2,5",no
2.06,CR02,0x008,PORTD,0x04,0xC4,"6,7",no
2.06,CR02,0x00E,TMR1L,0xE8,0x17,"0,1,2,3,4,5,6,7",yes
2.06,CR02,0x00F,TMR1H,0xD1,0xD2,"0,1",yes
2.06,CR02,0x011,TMR2,0xCD,0xFC,"0,4,5",yes
2.06,CR03,0x001,TMR0,0xA7,0xB7,4,yes
2.06,CR03,0x003,STATUS,0x18,0x3C,"2,5",no
2.06,CR03,0x00E,TMR1L,0xE8,0xF8,4,yes
2.06,CR03,0x011,TMR2,0xCD,0xDD,4,yes
2.06,CR03,0x0CD,RAM_0x0CD,0x00,0x08,3,no
2.06,CR04,0x001,TMR0,0xA7,0xAC,"0,1,3",yes
2.06,CR04,0x003,STATUS,0x18,0x38,5,no
2.06,CR04,0x00E,TMR1L,0xE8,0xED,"0,2",yes
2.06,CR04,0x011,TMR2,0xCD,0xD2,"0,1,2,3,4",yes
2.06,CR04,0x0CD,RAM_0x0CD,0x00,0x41,"0,6",no
2.06,CR05,0x001,TMR0,0xA7,0xAC,"0,1,3",yes
2.06,CR05,0x003,STATUS,0x1A,0x3E,"2,5",no
2.06,CR05,0x00E,TMR1L,0xE8,0xED,"0,2",yes
2.06,CR05,0x011,TMR2,0xCD,0xD2,"0,1,2,3,4",yes
2.06,CR06,0x001,TMR0,0xA7,0xB7,4,yes
2.06,CR06,0x003,STATUS,0x1A,0x3E,"2,5",no
2.06,CR06,0x00E,TMR1L,0xE8,0xF8,4,yes
2.06,CR06,0x011,TMR2,0xCD,0xDD,4,yes
2.06,CR06,0x0CD,RAM_0x0CD,0x00,0x03,"0,1",no
2.06,CR07,0x001,TMR0,0xA7,0xB6,"0,4",yes
2.06,CR07,0x003,STATUS,0x1A,0x3A,5,no
2.06,CR07,0x00E,TMR1L,0xE8,0xF7,"0,1,2,3,4",yes
2.06,CR07,0x011,TMR2,0xCD,0xDC,"0,4",yes
2.06,CR07,0x079,RAM_0x079,0x24,0x51,"0,2,4,5,6",no
2.06,CR07,0x07A,RAM_0x07A,0x00,0x80,7,no
2.06,CR07,0x0CD,RAM_0x0CD,0x00,0x51,"0,4,6",no
2.06,CR08,0x001,TMR0,0xA7,0xAC,"0,1,3",yes
2.06,CR08,0x003,STATUS,0x1A,0x3A,5,no
2.06,CR08,0x00E,TMR1L,0xE8,0xED,"0,2",yes
2.06,CR08,0x011,TMR2,0xCD,0xD2,"0,1,2,3,4",yes
