version,image,request,response,response_hex,value,handler_pc,formatter_pc,handler_seen,formatter_seen,steps,reads,writes,watchpoint_changes,net_changes,error
2.02,Bixby_0202_260827_PICkit.hex,CR00,CR0000\x0A,43 52 30 30 30 30 0A,0x00,0x1173,0x12B7,yes,yes,1536,1,2,2,4,
2.02,Bixby_0202_260827_PICkit.hex,CR01,CR0100\x0A,43 52 30 31 30 30 0A,0x00,0x1176,0x12B7,yes,yes,1537,2,2,2,4,
2.02,Bixby_0202_260827_PICkit.hex,CR02,CR0200\x0A,43 52 30 32 30 30 0A,0x00,0x117A,0x12B7,yes,yes,1579,29,18,14,5,
2.02,Bixby_0202_260827_PICkit.hex,CR03,CR0300\x0A,43 52 30 33 30 30 0A,0x00,0x11AC,0x12B7,yes,yes,1546,7,4,4,4,
2.02,Bixby_0202_260827_PICkit.hex,CR04,CR0441\x0A,43 52 30 34 34 31 0A,0x41,0x11C5,0x12B7,yes,yes,1537,2,2,2,5,
2.02,Bixby_0202_260827_PICkit.hex,CR05,CR0500\x0A,43 52 30 35 30 30 0A,0x00,0x11C9,0x12B7,yes,yes,1537,2,2,2,4,
2.02,Bixby_0202_260827_PICkit.hex,CR06,CR0603\x0A,43 52 30 36 30 33 0A,0x03,0x11CD,0x12B7,yes,yes,1548,12,10,10,5,
2.02,Bixby_0202_260827_PICkit.hex,CR07,CR072d\x0A,43 52 30 37 32 64 0A,0x2D,0x11E1,0x12B7,yes,yes,1547,10,10,10,6,
2.02,Bixby_0202_260827_PICkit.hex,CR08,CR0804\x0A,43 52 30 38 30 34 0A,0x04,0x11EF,0x12B7,yes,yes,1537,1,2,2,5,
2.02,Bixby_0202_260827_PICkit.hex,CR09,CR0900\x0A,43 52 30 39 30 30 0A,0x00,0x11F3,0x12B7,yes,yes,1537,2,2,2,4,
2.02,Bixby_0202_260827_PICkit.hex,CR0A,CR0a00\x0A,43 52 30 61 30 30 0A,0x00,0x11F7,0x12B7,yes,yes,1541,2,2,2,4,
2.02,Bixby_0202_260827_PICkit.hex,CR0B,CR0b02\x0A,43 52 30 62 30 32 0A,0x02,0x11FB,0x12B7,yes,yes,1541,1,2,2,5,
2.02,Bixby_0202_260827_PICkit.hex,CR0C,CR0c02\x0A,43 52 30 63 30 32 0A,0x02,0x11FF,0x12B7,yes,yes,1541,1,2,2,5,
2.06,Bixby_02060021_Downloader.hex,CR00,CR0000\x0A,43 52 30 30 30 30 0A,0x00,0x1153,0x1265,yes,yes,771,1,2,2,4,
2.06,Bixby_02060021_Downloader.hex,CR01,CR0100\x0A,43 52 30 31 30 30 0A,0x00,0x1156,0x1265,yes,yes,772,2,2,2,4,
2.06,Bixby_02060021_Downloader.hex,CR02,CR0200\x0A,43 52 30 32 30 30 0A,0x00,0x115A,0x1265,yes,yes,814,29,18,14,6,
2.06,Bixby_02060021_Downloader.hex,CR03,CR0308\x0A,43 52 30 33 30 38 0A,0x08,0x118C,0x1265,yes,yes,783,10,7,7,5,
2.06,Bixby_02060021_Downloader.hex,CR04,CR0441\x0A,43 52 30 34 34 31 0A,0x41,0x11A5,0x1265,yes,yes,772,2,2,2,5,
2.06,Bixby_02060021_Downloader.hex,CR05,CR0500\x0A,43 52 30 35 30 30 0A,0x00,0x11A9,0x1265,yes,yes,772,2,2,2,4,
2.06,Bixby_02060021_Downloader.hex,CR06,CR0603\x0A,43 52 30 36 30 33 0A,0x03,0x11AD,0x1265,yes,yes,783,12,10,10,5,
2.06,Bixby_02060021_Downloader.hex,CR07,CR0751\x0A,43 52 30 37 35 31 0A,0x51,0x11C1,0x1265,yes,yes,782,10,10,14,7,
2.06,Bixby_02060021_Downloader.hex,CR08,CR0805\x0A,43 52 30 38 30 35 0A,0x05,0x11CF,0x1265,yes,yes,772,1,2,2,5,
2.06,Bixby_02060021_Downloader.hex,CR09,CR0900\x0A,43 52 30 39 30 30 0A,0x00,0x11D3,0x1265,yes,yes,772,2,2,2,4,
2.06,Bixby_02060021_Downloader.hex,CR0A,CR0a00\x0A,43 52 30 61 30 30 0A,0x00,0x11D7,0x1265,yes,yes,776,2,2,2,4,
2.06,Bixby_02060021_Downloader.hex,CR0B,CR0b02\x0A,43 52 30 62 30 32 0A,0x02,0x11DB,0x1265,yes,yes,776,1,2,2,5,
2.06,Bixby_02060021_Downloader.hex,CR0C,CR0c06\x0A,43 52 30 63 30 36 0A,0x06,0x11DF,0x1265,yes,yes,776,1,2,2,5,
2.06,Bixby_02060021_Downloader.hex,CR0D,CR0d00\x0A,43 52 30 64 30 30 0A,0x00,0x11E3,0x1265,yes,yes,775,1,2,2,4,
2.06,Bixby_02060021_Downloader.hex,CR0E,CR0e21\x0A,43 52 30 65 32 31 0A,0x21,0x11E6,0x1265,yes,yes,776,1,2,2,5,
2.70,Bixby_0270_070206.hex,CR00,CR0000\x0A,43 52 30 30 30 30 0A,0x00,0x1248,0x1352,yes,yes,763,1,2,2,4,
2.70,Bixby_0270_070206.hex,CR01,CR0100\x0A,43 52 30 31 30 30 0A,0x00,0x124B,0x1352,yes,yes,764,2,2,2,4,
2.70,Bixby_0270_070206.hex,CR02,CR0200\x0A,43 52 30 32 30 30 0A,0x00,0x124F,0x1352,yes,yes,802,25,14,10,6,
2.70,Bixby_0270_070206.hex,CR03,CR0308\x0A,43 52 30 33 30 38 0A,0x08,0x127D,0x1352,yes,yes,775,10,7,7,5,
2.70,Bixby_0270_070206.hex,CR04,CR0441\x0A,43 52 30 34 34 31 0A,0x41,0x1296,0x1352,yes,yes,764,2,2,2,5,
2.70,Bixby_0270_070206.hex,CR05,CR0500\x0A,43 52 30 35 30 30 0A,0x00,0x129A,0x1352,yes,yes,764,2,2,2,4,
2.70,Bixby_0270_070206.hex,CR06,CR0603\x0A,43 52 30 36 30 33 0A,0x03,0x129E,0x1352,yes,yes,775,12,10,10,5,
2.70,Bixby_0270_070206.hex,CR07,CR0751\x0A,43 52 30 37 35 31 0A,0x51,0x12B2,0x1352,yes,yes,774,10,10,14,7,
2.70,Bixby_0270_070206.hex,CR08,CR0807\x0A,43 52 30 38 30 37 0A,0x07,0x12C0,0x1352,yes,yes,764,1,2,2,5,
