version,request,action,address,name,via,count,values,pcs
2.02,CW0000,read,0x003,STATUS,direct,2,0x18 0x3C,0x109B 0x109D
2.02,CW0000,read,0x0CD,RAM_0x0CD,direct,1,0x00,0x109C
2.02,CW0000,write,0x003,STATUS,direct,1,0x38,0x109B
2.02,CW0000,write,0x0C2,RAM_0x0C2,direct,1,0x00,0x109F
2.02,CW0000,write,0x0CD,RAM_0x0CD,direct,1,0x00,0x109C
2.02,CW0100,read,0x003,STATUS,direct,1831,0x04 0x18 0x19 0x1B 0x1C 0x1D 0x1F 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x58 0x59 0x5B 0x5C 0x5D 0x5F 0x78 0x79 0x7B 0x7C 0x7D 0x7F,0x0005 0x0017 0x0018 0x01E6 0x07D7 0x07D9 0x07DA 0x07DC 0x07DD 0x07DF 0x07E2 0x07E4 0x07E5 0x07E9 0x08B0 0x08B7 0x08BD 0x08C1 0x08C3 0x08C8 0x08CD 0x08D1 0x08D7 0x08DB 0x08DE 0x08E1 0x08E9 0x08EC 0x08EF 0x08F7 0x08FC 0x10A6 0x10A9 0x10AA 0x10AC 0x10AD 0x10AF 0x10B2 0x10B3 0x10B7 0x10B8 0x10C2 0x10C3 0x10C5 0x10C9 0x10CA 0x10CC 0x10CD 0x10CF 0x10D2 0x10D3 0x10D7 0x10D8 0x10E2 0x10E3 0x10EA
2.02,CW0100,read,0x004,FSR,direct,25,0xA7,0x000B
2.02,CW0100,read,0x00A,PCLATH,direct,347,0x00 0x02 0x0A 0x12 0x1A,0x0008 0x0042 0x0043 0x01EB 0x01EC 0x08BC 0x08BF 0x08DA 0x08DD 0x08E8 0x08EB 0x08F6 0x08F9 0x10A1 0x10A2 0x10A4 0x10A5 0x10E5 0x10E6 0x10E8 0x10E9
2.02,CW0100,read,0x00B,INTCON,direct,56,0x54 0xD4,0x0019 0x001B 0x10B4 0x10B6 0x10C4 0x10D4 0x10D6 0x10E4
2.02,CW0100,read,0x00C,PIR1,direct,75,0x5A,0x0021 0x0027 0x01EA
2.02,CW0100,read,0x020,RAM_0x020,direct,25,0x02 0x0A 0x12,0x0035
2.02,CW0100,read,0x021,RAM_0x021,direct,25,0x81 0x83 0x93 0xA3 0xB1 0xB3 0xB5 0xC3 0xD3 0xF3 0xF5,0x0037
2.02,CW0100,read,0x022,RAM_0x022,direct,25,0xA7,0x0029
2.02,CW0100,read,0x023,RAM_0x023,direct,25,0x20,0x002B
