version,request,address,name,via,count,before_values,after_values,pcs
2.06,CW0000,0x003,STATUS,alu-flag,1,0x38,0x3C,0x1031
2.06,CW0000,0x003,STATUS,direct,1,0x18,0x38,0x1030
2.06,CW0100,0x003,STATUS,alu-flag,1281,0x00 0x04 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x58 0x59 0x5B 0x5C 0x5F,0x00 0x04 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x58 0x5B 0x5C 0x5D 0x5F,0x0006 0x0008 0x000A 0x000B 0x000D 0x0011 0x0013 0x0029 0x002B 0x002F 0x0031 0x0035 0x06FE 0x0702 0x0703 0x0706 0x070E 0x0711 0x0714 0x0716 0x0718 0x0719 0x071B 0x071E 0x0729 0x072E 0x0731 0x073E 0x0741 0x074E 0x074F 0x103A 0x103D
2.06,CW0100,0x003,STATUS,direct,1075,0x00 0x18 0x19 0x1B 0x1F 0x38 0x39 0x3B 0x3C 0x3D 0x3F 0x58 0x59 0x5B 0x5C 0x5D 0x5F 0x78 0x79 0x7B 0x7C 0x7D 0x7F,0x00 0x18 0x19 0x1B 0x1F 0x38 0x39 0x3A 0x3B 0x3C 0x3D 0x3E 0x3F 0x58 0x59 0x5B 0x5C 0x5F 0x78 0x79 0x7B 0x7C 0x7D 0x7F,0x0006 0x0038 0x06FD 0x0707 0x0708 0x070A 0x070D 0x070F 0x0710 0x0717 0x0720 0x0722 0x0727 0x0728 0x072A 0x072D 0x072F 0x0730 0x0737 0x0738 0x073A 0x073D 0x073F 0x0740 0x0747 0x0748 0x074A 0x074D 0x0758 0x1039 0x103B 0x103C 0x103E 0x103F 0x1041 0x1044 0x1045 0x1049 0x104A 0x1054 0x1055 0x1058 0x105A 0x105B 0x105D 0x105E 0x1060 0x1063 0x1064 0x1068 0x1069 0x1073 0x1074 0x1079
2.06,CW0100,0x004,FSR,direct,44,0x8C 0xA8,0x8C 0xA8,0x001E 0x002A
2.06,CW0100,0x00A,PCLATH,direct,48,0x00 0x02 0x12,0x00 0x02 0x12,0x000A 0x0036 0x1036 0x1038 0x1076 0x1078
2.06,CW0100,0x00B,INTCON,direct,4,0x54 0xD4,0x54 0xD4,0x1048 0x1056 0x1067 0x1075
2.06,CW0100,0x00C,PIR1,direct,22,0x5B,0x59,0x01B6
2.06,CW0100,0x020,RAM_0x020,direct,2,0x02 0x08,0x02 0x12,0x0009
2.06,CW0100,0x021,RAM_0x021,direct,16,0x83 0x91 0x93 0x95 0x97 0xB3 0xB5 0xB7 0xC3,0x83 0x87 0x91 0x93 0x95 0x97 0xB3 0xB5 0xB7 0xC3,0x0007
2.06,CW0100,0x024,RAM_0x024,direct,1,0x30,0x00,0x0010
2.06,CW0100,0x031,RAM_0x031,direct,22,0xD2 0xD3 0xD4 0xD5 0xD6 0xD7 0xD8 0xD9 0xDA 0xDB 0xDC 0xDD 0xDE 0xDF 0xE0 0xE1 0xE2 0xE3 0xE4 0xE5 0xE6 0xE7,0xD3 0xD4 0xD5 0xD6 0xD7 0xD8 0xD9 0xDA 0xDB 0xDC 0xDD 0xDE 0xDF 0xE0 0xE1 0xE2 0xE3 0xE4 0xE5 0xE6 0xE7 0xE8,0x01A7
2.06,CW0100,0x077,RAM_0x077,direct,1,0x00,0xD4,0x1047
2.06,CW0100,0x07F,RAM_0x07F,direct,40,0x00 0x01 0x03 0x10 0x15 0x17 0x1C 0x23 0x27 0x30 0x32 0x36 0x3E 0x51 0x55 0x57 0x63 0x64 0x68 0x6A 0x6C 0x6F 0x71 0x72 0x75 0x78 0x7F 0x86 0x87 0x90 0xA6 0xBB 0xBE 0xC1 0xC6 0xE3 0xEB 0xF6 0xF7,0x00 0x01 0x03 0x10 0x15 0x17 0x1C 0x23 0x27 0x30 0x32 0x36 0x3E 0x46 0x51 0x55 0x57 0x63 0x64 0x68 0x6A 0x6C 0x6F 0x71 0x72 0x75 0x78 0x7F 0x86 0x87 0xA6 0xBB 0xBE 0xC1 0xC6 0xE3 0xEB 0xF6 0xF7,0x0004 0x0039
