version,stimulus,port,bit,register,baseline,stimulated,changed_bits
2.02,PORTB4=1,PORTB,4,CR06,0x03,0x07,2
2.02,PORTD0=1,PORTD,0,CR02,0x00,0x10,4
2.02,PORTD1=1,PORTD,1,CR02,0x00,0x20,5
2.02,PORTD3=1,PORTD,3,CR02,0x00,0x07,"0,1,2"
2.02,PORTD4=1,PORTD,4,CR02,0x00,0x40,6
2.02,PORTE1=1,PORTE,1,CR02,0x00,0x80,7
2.06,PORTB4=1,PORTB,4,CR06,0x03,0x07,2
2.06,PORTD0=1,PORTD,0,CR02,0x00,0x10,4
2.06,PORTD1=1,PORTD,1,CR02,0x00,0x20,5
2.06,PORTD3=1,PORTD,3,CR02,0x00,0x07,"0,1,2"
2.06,PORTD4=1,PORTD,4,CR02,0x00,0x40,6
2.06,PORTE1=1,PORTE,1,CR02,0x00,0x80,7
2.70,PORTB4=1,PORTB,4,CR06,0x03,0x07,2
2.70,PORTD0=1,PORTD,0,CR02,0x00,0x10,4
2.70,PORTD1=1,PORTD,1,CR02,0x00,0x20,5
2.70,PORTD3=1,PORTD,3,CR02,0x00,0x07,"0,1,2"
2.70,PORTD4=1,PORTD,4,CR02,0x00,0x40,6
2.70,PORTE1=1,PORTE,1,CR02,0x00,0x80,7
2.71,PORTB4=1,PORTB,4,CR06,0x03,0x07,2
2.71,PORTD0=1,PORTD,0,CR02,0x00,0x10,4
2.71,PORTD1=1,PORTD,1,CR02,0x00,0x20,5
2.71,PORTD3=1,PORTD,3,CR02,0x00,0x07,"0,1,2"
2.71,PORTD4=1,PORTD,4,CR02,0x00,0x40,6
2.71,PORTE1=1,PORTE,1,CR02,0x00,0x80,7
