version,port,bit,direction,tris,output_latch
2.02,PORTA,0,input,0x3F,0x00
2.02,PORTA,1,input,0x3F,0x00
2.02,PORTA,2,input,0x3F,0x00
2.02,PORTA,3,input,0x3F,0x00
2.02,PORTA,4,input,0x3F,0x00
2.02,PORTA,5,input,0x3F,0x00
2.02,PORTA,6,output,0x3F,0x00
2.02,PORTA,7,output,0x3F,0x00
2.02,PORTB,0,input,0xD1,0x00
2.02,PORTB,1,output,0xD1,0x00
2.02,PORTB,2,output,0xD1,0x00
2.02,PORTB,3,output,0xD1,0x00
2.02,PORTB,4,input,0xD1,0x00
2.02,PORTB,5,output,0xD1,0x00
2.02,PORTB,6,input,0xD1,0x00
2.02,PORTB,7,input,0xD1,0x00
2.02,PORTC,0,output,0x80,0x24
2.02,PORTC,1,output,0x80,0x24
2.02,PORTC,2,output,0x80,0x24
2.02,PORTC,3,output,0x80,0x24
2.02,PORTC,4,output,0x80,0x24
2.02,PORTC,5,output,0x80,0x24
2.02,PORTC,6,output,0x80,0x24
2.02,PORTC,7,input,0x80,0x24
2.02,PORTD,0,input,0x1B,0x04
2.02,PORTD,1,input,0x1B,0x04
2.02,PORTD,2,output,0x1B,0x04
2.02,PORTD,3,input,0x1B,0x04
2.02,PORTD,4,input,0x1B,0x04
2.02,PORTD,5,output,0x1B,0x04
2.02,PORTD,6,output,0x1B,0x04
2.02,PORTD,7,output,0x1B,0x04
2.02,PORTE,0,input,0x03,0x04
2.02,PORTE,1,input,0x03,0x04
2.02,PORTE,2,output,0x03,0x04
2.02,PORTE,3,output,0x03,0x04
2.02,PORTE,4,output,0x03,0x04
2.02,PORTE,5,output,0x03,0x04
2.02,PORTE,6,output,0x03,0x04
2.02,PORTE,7,output,0x03,0x04
2.06,PORTA,0,input,0x3F,0x00
2.06,PORTA,1,input,0x3F,0x00
2.06,PORTA,2,input,0x3F,0x00
2.06,PORTA,3,input,0x3F,0x00
2.06,PORTA,4,input,0x3F,0x00
2.06,PORTA,5,input,0x3F,0x00
2.06,PORTA,6,output,0x3F,0x00
2.06,PORTA,7,output,0x3F,0x00
2.06,PORTB,0,input,0xD1,0x00
2.06,PORTB,1,output,0xD1,0x00
