version,stimulus,port,bit,settle_steps,changed_registers,changed_count,baseline_errors,stimulus_errors
2.06,PORTA0=1,PORTA,0,50000,,0,,
2.06,PORTA1=1,PORTA,1,50000,,0,,
2.06,PORTA2=1,PORTA,2,50000,,0,,
2.06,PORTA3=1,PORTA,3,50000,,0,,
2.06,PORTA4=1,PORTA,4,50000,,0,,
2.06,PORTA5=1,PORTA,5,50000,,0,,
2.06,PORTB0=1,PORTB,0,50000,,0,,
2.06,PORTB4=1,PORTB,4,50000,CR06,1,,
2.06,PORTB6=1,PORTB,6,50000,,0,,
2.06,PORTB7=1,PORTB,7,50000,,0,,
2.06,PORTC7=1,PORTC,7,50000,,0,,
2.06,PORTD0=1,PORTD,0,50000,CR02,1,,
2.06,PORTD1=1,PORTD,1,50000,CR02,1,,
2.06,PORTD3=1,PORTD,3,50000,CR02,1,,
2.06,PORTD4=1,PORTD,4,50000,CR02,1,,
2.06,PORTE0=1,PORTE,0,50000,,0,,
2.06,PORTE1=1,PORTE,1,50000,CR02,1,,
2.70,PORTA0=1,PORTA,0,50000,,0,,
2.70,PORTA1=1,PORTA,1,50000,,0,,
2.70,PORTA2=1,PORTA,2,50000,,0,,
2.70,PORTA3=1,PORTA,3,50000,,0,,
2.70,PORTA4=1,PORTA,4,50000,,0,,
2.70,PORTA5=1,PORTA,5,50000,,0,,
2.70,PORTB0=1,PORTB,0,50000,,0,,
2.70,PORTB4=1,PORTB,4,50000,CR06,1,,
2.70,PORTB6=1,PORTB,6,50000,,0,,
2.70,PORTB7=1,PORTB,7,50000,,0,,
2.70,PORTC7=1,PORTC,7,50000,,0,,
2.70,PORTD0=1,PORTD,0,50000,CR02,1,,
2.70,PORTD1=1,PORTD,1,50000,CR02,1,,
2.70,PORTD3=1,PORTD,3,50000,CR02,1,,
2.70,PORTD4=1,PORTD,4,50000,CR02,1,,
2.70,PORTE0=1,PORTE,0,50000,,0,,
2.70,PORTE1=1,PORTE,1,50000,CR02,1,,
2.71,PORTA0=1,PORTA,0,50000,,0,,
2.71,PORTA1=1,PORTA,1,50000,,0,,
2.71,PORTA2=1,PORTA,2,50000,,0,,
2.71,PORTA3=1,PORTA,3,50000,,0,,
2.71,PORTA4=1,PORTA,4,50000,,0,,
2.71,PORTA5=1,PORTA,5,50000,,0,,
2.71,PORTB0=1,PORTB,0,50000,,0,,
2.71,PORTB4=1,PORTB,4,50000,CR06,1,,
2.71,PORTB6=1,PORTB,6,50000,,0,,
2.71,PORTB7=1,PORTB,7,50000,,0,,
2.71,PORTC7=1,PORTC,7,50000,,0,,
2.71,PORTD0=1,PORTD,0,50000,CR02,1,,
2.71,PORTD1=1,PORTD,1,50000,CR02,1,,
2.71,PORTD3=1,PORTD,3,50000,CR02,1,,
2.71,PORTD4=1,PORTD,4,50000,CR02,1,,
2.71,PORTE0=1,PORTE,0,50000,,0,,
2.71,PORTE1=1,PORTE,1,50000,CR02,1,,
