version,index,action,address,name,via,count,values,pcs
2.02,0x00,read,0x003,STATUS,direct,78,0x04 0x18 0x1B 0x1C 0x38 0x3B 0x3C,0x0005 0x0017 0x0018 0x01E6 0x0307 0x030B 0x0316 0x031D 0x0324 0x0326 0x0329 0x0338 0x033B 0x033D 0x0340 0x0D8F 0x0D93 0x0D96 0x0D9A 0x0DA5 0x0DAC 0x0DB4 0x0DBC 0x0DC4 0x0DCC 0x0DD4 0x0DDC 0x0DFD 0x0E20 0x0E43 0x0E61 0x0E69 0x0E71 0x0E79 0x0E81 0x0E89 0x0E91 0x0E97 0x0EA4 0x0EA9 0x0EAD 0x0EB5 0x0EC2 0x0EC5 0x0ECB
2.02,0x00,read,0x004,FSR,direct,1,0x62,0x000B
2.02,0x00,read,0x00A,PCLATH,direct,11,0x00 0x08,0x0008 0x0042 0x0043 0x01EB 0x01EC 0x0D92 0x0D95 0x0D99 0x0D9C 0x0EC1 0x0EC4
2.02,0x00,read,0x00B,INTCON,direct,2,0x54,0x0019 0x001B
2.02,0x00,read,0x00C,PIR1,direct,16,0x58 0x5A,0x0021 0x0027 0x01EA 0x0317 0x0330 0x0335 0x0344 0x0D8C 0x0D9F
2.02,0x00,read,0x020,RAM_0x020,direct,1,0x00,0x0035
2.02,0x00,read,0x021,RAM_0x021,direct,1,0x83,0x0037
2.02,0x00,read,0x022,RAM_0x022,direct,1,0x62,0x0029
2.02,0x00,read,0x023,RAM_0x023,direct,1,0x00,0x002B
2.02,0x00,read,0x024,RAM_0x024,direct,1,0x00,0x002D
2.02,0x00,read,0x025,RAM_0x025,direct,1,0x11,0x002F
2.02,0x00,read,0x026,RAM_0x026,direct,1,0x00,0x0031
2.02,0x00,read,0x027,RAM_0x027,direct,1,0x00,0x0033
2.02,0x00,read,0x030,RAM_0x030,direct,1,0x00,0x0EAE
2.02,0x00,read,0x031,RAM_0x031,direct,1,0x8C,0x01DB
2.02,0x00,read,0x038,RAM_0x038,direct,1,0x00,0x01E5
2.02,0x00,read,0x04C,RAM_0x04C,direct,1,0x20,0x01DF
2.02,0x00,read,0x050,RAM_0x050,direct,2,0x00,0x032C 0x0DA3
2.02,0x00,read,0x062,RAM_0x062,indirect,1,0x00,0x0EBB
2.02,0x00,read,0x077,RAM_0x077,direct,1,0x00,0x000D
2.02,0x00,read,0x078,RAM_0x078,direct,1,0x00,0x000F
2.02,0x00,read,0x079,RAM_0x079,direct,1,0x11,0x0011
2.02,0x00,read,0x07A,RAM_0x07A,direct,1,0x00,0x0013
2.02,0x00,read,0x07B,RAM_0x07B,direct,1,0x00,0x0015
2.02,0x00,read,0x07E,RAM_0x07E,direct,1,0x0F,0x0EAB
2.02,0x00,read,0x07F,RAM_0x07F,direct,2,0x03 0x30,0x0039 0x003A
2.02,0x00,read,0x08C,PIE1,indirect,2,0x22,0x001F 0x0025
2.02,0x00,read,0x0A0,RAM_0x0A0,direct,24,0x00,0x0DA6 0x0DAA 0x0DB2 0x0DBA 0x0DC2 0x0DCA 0x0DD2 0x0DDA 0x0DFB 0x0E1E 0x0E41 0x0E5F 0x0E67 0x0E6F 0x0E77 0x0E7F 0x0E87 0x0E8F 0x0E95 0x0EA2 0x0EA7 0x0EB6 0x0EB9 0x0EC7
2.02,0x00,read,0x0CA,RAM_0x0CA,direct,1,0x00,0x0EC9
2.02,0x00,read,0x0CB,RAM_0x0CB,direct,1,0x00,0x0D90
2.02,0x00,read,0x0CC,RAM_0x0CC,direct,2,0x00 0x10,0x0D97 0x0EBD
2.02,0x00,read,0x0CD,RAM_0x0CD,direct,1,0x00,0x0EBF
2.02,0x00,read,0x0D6,RAM_0x0D6,direct,1,0x10,0x0339
2.02,0x00,read,0x0D7,RAM_0x0D7,direct,1,0x00,0x033E
2.02,0x00,read,0x0D8,RAM_0x0D8,direct,8,0x00 0x10,0x031E 0x0327
2.02,0x00,read,0x0D9,RAM_0x0D9,direct,8,0x00 0x01,0x0321 0x0322
