version,index,block_entry,sender_pc,response,response_hex,t_frame,t_index,t_value,aux_frame,aux_index,aux_value,value_ram,value_write_pcs,aux_value_ram,aux_write_pcs,sender_seen,steps,reads,writes,error
2.06,0x00,0x0CF2,0x0783,DW0000\x0AT0041\x0A,44 57 30 30 30 30 0A 54 30 30 34 31 0A,T0041,0x00,0x41,DW0000,0x00,0x00,0x0CA,0x0CFE,0x0CB,0x0CFF,yes,517,264,169,
2.06,0x01,0x0CF2,0x0783,DW0100\x0AT0100\x0A,44 57 30 31 30 30 0A 54 30 31 30 30 0A,T0100,0x01,0x00,DW0100,0x01,0x00,0x0CA,0x0D07,0x0CB,0x0D08,yes,519,266,171,
2.06,0x02,0x0CF2,0x0783,DW0200\x0AT0200\x0A,44 57 30 32 30 30 0A 54 30 32 30 30 0A,T0200,0x02,0x00,DW0200,0x02,0x00,0x0CA,0x0D12,0x0CB,0x0D13,yes,522,268,173,
2.06,0x03,0x0CF2,0x0783,DW0300\x0AT0300\x0A,44 57 30 33 30 30 0A 54 30 33 30 30 0A,T0300,0x03,0x00,DW0300,0x03,0x00,0x0CA,0x0D22,0x0CB,0x0D26,yes,521,268,173,
2.06,0x04,0x0CF2,0x0783,DW0400\x0AT0400\x0A,44 57 30 34 30 30 0A 54 30 34 30 30 0A,T0400,0x04,0x00,DW0400,0x04,0x00,0x0CA,0x0D2E,0x0CB,0x0D2F,yes,522,268,173,
2.06,0x05,0x0CF2,0x0783,DW0500\x0AT0500\x0A,44 57 30 35 30 30 0A 54 30 35 30 30 0A,T0500,0x05,0x00,DW0500,0x05,0x00,0x0CA,0x0D3E,0x0CB,0x0D42,yes,521,268,173,
2.06,0x06,0x0CF2,0x0783,DW0600\x0AT0619\x0A,44 57 30 36 30 30 0A 54 30 36 31 39 0A,T0619,0x06,0x19,DW0600,0x06,0x00,0x0CA,0x0D4A,0x0CB,0x0D4E,yes,521,268,173,
2.06,0x07,0x0CF2,0x0783,DW0700\x0AT0700\x0A,44 57 30 37 30 30 0A 54 30 37 30 30 0A,T0700,0x07,0x00,DW0700,0x07,0x00,0x0CA,0x0D56,0x0CB,0x0D5A,yes,521,268,173,
2.06,0x08,0x0CF2,0x0783,DW0800\x0AT0807\x0A,44 57 30 38 30 30 0A 54 30 38 30 37 0A,T0807,0x08,0x07,DW0800,0x08,0x00,0x0CA,0x0D62,0x0CB,0x0D66,yes,521,268,173,
2.06,0x09,0x0CF2,0x0783,T0900\x0A,54 30 39 30 30 0A,T0900,0x09,0x00,,,,0x0CA,0x0D6E,0x0CB,,yes,323,167,89,
2.06,0x0A,0x0CF2,0x0783,T0a00\x0A,54 30 61 30 30 0A,T0a00,0x0A,0x00,,,,0x0CA,0x0D77,0x0CB,,yes,323,167,89,
2.06,0x0B,0x0CF2,0x0783,T0b00\x0A,54 30 62 30 30 0A,T0b00,0x0B,0x00,,,,0x0CA,0x0D80,0x0CB,,yes,323,167,89,
2.06,0x0C,0x0CF2,0x0783,DW0c00\x0AT0c3e\x0A,44 57 30 63 30 30 0A 54 30 63 33 65 0A,T0c3e,0x0C,0x3E,DW0c00,0x0C,0x00,0x0CA,0x0D90,0x0CB,0x0D94,yes,825,480,363,
2.06,0x0D,0x0CF2,0x0783,T0d80\x0A,54 30 64 38 30 0A,T0d80,0x0D,0x80,,,,0x0CA,0x0D9F,0x0CB,,yes,623,377,277,
2.06,0x0E,0x0CF2,0x0783,T0e05\x0A,54 30 65 30 35 0A,T0e05,0x0E,0x05,,,,0x0CA,0x0DA8,0x0CB,,yes,323,167,89,
2.06,0x0F,0x0CF2,0x0783,DW0f00\x0AT0f14\x0A,44 57 30 66 30 30 0A 54 30 66 31 34 0A,T0f14,0x0F,0x14,DW0f00,0x0F,0x00,0x0CA,0x0DB1,0x0CB,0x0DB5,yes,521,268,173,
2.06,0x10,0x0CF2,0x0783,DW2800\x0AT101f\x0A,44 57 32 38 30 30 0A 54 31 30 31 66 0A,T101f,0x10,0x1F,DW2800,0x28,0x00,0x0CA,0x0DBD,0x0CB,0x0E42,yes,544,282,180,
2.06,0x11,0x0CF2,0x0783,DW2a00\x0AT1118\x0A,44 57 32 61 30 30 0A 54 31 31 31 38 0A,T1118,0x11,0x18,DW2a00,0x2A,0x00,0x0CA,0x0DBD 0x0DC5,0x0CB,0x0E42,yes,547,285,183,
2.06,0x12,0x0CF2,0x0783,DW2c00\x0AT120f\x0A,44 57 32 63 30 30 0A 54 31 32 30 66 0A,T120f,0x12,0x0F,DW2c00,0x2C,0x00,0x0CA,0x0DBD 0x0DCB,0x0CB,0x0E42,yes,545,283,181,
2.06,0x13,0x0CF2,0x0783,DW2e00\x0AT1300\x0A,44 57 32 65 30 30 0A 54 31 33 30 30 0A,T1300,0x13,0x00,DW2e00,0x2E,0x00,0x0CA,0x0DBD 0x0DD3,0x0CB,0x0E42,yes,547,285,183,
2.06,0x14,0x0CF2,0x0783,DW3000\x0AT1400\x0A,44 57 33 30 30 30 0A 54 31 34 30 30 0A,T1400,0x14,0x00,DW3000,0x30,0x00,0x0CA,0x0DBD 0x0DDB,0x0CB,0x0E42,yes,547,285,183,
2.06,0x15,0x0CF2,0x0783,DW3200\x0AT1500\x0A,44 57 33 32 30 30 0A 54 31 35 30 30 0A,T1500,0x15,0x00,DW3200,0x32,0x00,0x0CA,0x0DBD 0x0DE3,0x0CB,0x0E42,yes,547,285,183,
2.06,0x16,0x0CF2,0x0783,DW3400\x0AT1600\x0A,44 57 33 34 30 30 0A 54 31 36 30 30 0A,T1600,0x16,0x00,DW3400,0x34,0x00,0x0CA,0x0DBD 0x0DEB,0x0CB,0x0E42,yes,547,285,183,
2.06,0x17,0x0CF2,0x0783,DW3600\x0AT1700\x0A,44 57 33 36 30 30 0A 54 31 37 30 30 0A,T1700,0x17,0x00,DW3600,0x36,0x00,0x0CA,0x0DBD 0x0DF3,0x0CB,0x0E42,yes,547,285,183,
2.06,0x18,0x0CF2,0x0783,T1857\x0A,54 31 38 35 37 0A,T1857,0x18,0x57,,,,0x0CA,0x0DBD 0x0DFB,0x0CB,,yes,329,172,92,
2.06,0x19,0x0CF2,0x0783,T191c\x0A,54 31 39 31 63 0A,T191c,0x19,0x1C,,,,0x0CA,0x0DBD 0x0E05,0x0CB,,yes,1142,761,548,
2.06,0x1A,0x0CF2,0x0783,T1a00\x0A,54 31 61 30 30 0A,T1a00,0x1A,0x00,,,,0x0CA,0x0DBD 0x0E0C,0x0CB,,yes,327,170,90,
2.06,0x1B,0x0CF2,0x0783,T1b00\x0A,54 31 62 30 30 0A,T1b00,0x1B,0x00,,,,0x0CA,0x0DBD 0x0E13,0x0CB,,yes,327,170,90,
2.06,0x1C,0x0CF2,0x0783,T1c24\x0A,54 31 63 32 34 0A,T1c24,0x1C,0x24,,,,0x0CA,0x0DBD 0x0E1C,0x0CB,,yes,329,172,92,
2.06,0x1D,0x0CF2,0x0783,T1d2c\x0A,54 31 64 32 63 0A,T1d2c,0x1D,0x2C,,,,0x0CA,0x0DBD 0x0E25,0x0CB,,yes,329,172,92,
2.70,0x00,0x0DBD,0x0771,DW0000\x0AT0041\x0A,44 57 30 30 30 30 0A 54 30 30 34 31 0A,T0041,0x00,0x41,DW0000,0x00,0x00,0x0C8,0x0DC9,0x0C9,0x0DCA,yes,503,264,169,
2.70,0x01,0x0DBD,0x0771,DW0100\x0AT0100\x0A,44 57 30 31 30 30 0A 54 30 31 30 30 0A,T0100,0x01,0x00,DW0100,0x01,0x00,0x0C8,0x0DD2,0x0C9,0x0DD3,yes,505,266,171,
2.70,0x02,0x0DBD,0x0771,DW0200\x0AT0200\x0A,44 57 30 32 30 30 0A 54 30 32 30 30 0A,T0200,0x02,0x00,DW0200,0x02,0x00,0x0C8,0x0DDD,0x0C9,0x0DDE,yes,508,268,173,
2.70,0x03,0x0DBD,0x0771,DW0300\x0AT0300\x0A,44 57 30 33 30 30 0A 54 30 33 30 30 0A,T0300,0x03,0x00,DW0300,0x03,0x00,0x0C8,0x0DED,0x0C9,0x0DEE,yes,504,265,171,
2.70,0x04,0x0DBD,0x0771,DW0400\x0AT0400\x0A,44 57 30 34 30 30 0A 54 30 34 30 30 0A,T0400,0x04,0x00,DW0400,0x04,0x00,0x0C8,0x0DF6,0x0C9,0x0DF7,yes,508,268,173,
2.70,0x05,0x0DBD,0x0771,DW0500\x0AT0500\x0A,44 57 30 35 30 30 0A 54 30 35 30 30 0A,T0500,0x05,0x00,DW0500,0x05,0x00,0x0C8,0x0E06,0x0C9,0x0E0A,yes,507,268,173,
2.70,0x06,0x0DBD,0x0771,DW0600\x0AT0619\x0A,44 57 30 36 30 30 0A 54 30 36 31 39 0A,T0619,0x06,0x19,DW0600,0x06,0x00,0x0C8,0x0E12,0x0C9,0x0E16,yes,507,268,173,
2.70,0x07,0x0DBD,0x0771,DW0700\x0AT0700\x0A,44 57 30 37 30 30 0A 54 30 37 30 30 0A,T0700,0x07,0x00,DW0700,0x07,0x00,0x0C8,0x0E1E,0x0C9,0x0E22,yes,507,268,173,
2.70,0x08,0x0DBD,0x0771,DW0800\x0AT0807\x0A,44 57 30 38 30 30 0A 54 30 38 30 37 0A,T0807,0x08,0x07,DW0800,0x08,0x00,0x0C8,0x0E2A,0x0C9,0x0E2E,yes,507,268,173,
2.70,0x09,0x0DBD,0x0771,T0900\x0A,54 30 39 30 30 0A,T0900,0x09,0x00,,,,0x0C8,0x0E36,0x0C9,,yes,316,167,89,
2.70,0x0A,0x0DBD,0x0771,T0a00\x0A,54 30 61 30 30 0A,T0a00,0x0A,0x00,,,,0x0C8,0x0E3F,0x0C9,,yes,316,167,89,
2.70,0x0B,0x0DBD,0x0771,T0b00\x0A,54 30 62 30 30 0A,T0b00,0x0B,0x00,,,,0x0C8,0x0E48,0x0C9,,yes,316,167,89,
2.70,0x0C,0x0DBD,0x0771,DW0c00\x0AT0c3e\x0A,44 57 30 63 30 30 0A 54 30 63 33 65 0A,T0c3e,0x0C,0x3E,DW0c00,0x0C,0x00,0x0C8,0x0E56,0x0C9,0x0E5A,yes,856,510,394,
